match_key,season,event_key,event_name,region,match_number,red_team_1,red_team_2,blue_team_1,blue_team_2,red_score,blue_score,score_diff,winner,is_playoff
1819-TX-E04-Q-001,1819,1819-TX-E04,Mock Event E04,TX,1,8696,8028,21396,5613,220,195,25,red,False
1819-TX-E04-Q-002,1819,1819-TX-E04,Mock Event E04,TX,2,6066,5613,16928,2739,178,169,9,red,False
1819-TX-E04-Q-003,1819,1819-TX-E04,Mock Event E04,TX,3,8696,2770,21170,21396,222,192,30,red,False
1819-TX-E04-Q-004,1819,1819-TX-E04,Mock Event E04,TX,4,24116,5613,16362,2739,173,124,49,red,False
1819-TX-E04-Q-005,1819,1819-TX-E04,Mock Event E04,TX,5,16362,21170,24116,21396,151,161,-10,blue,False
1819-TX-E04-Q-006,1819,1819-TX-E04,Mock Event E04,TX,6,21396,9907,8696,2770,181,215,-34,blue,False
1819-TX-E04-Q-007,1819,1819-TX-E04,Mock Event E04,TX,7,2770,16928,21896,8696,198,153,45,red,False
1819-TX-E04-Q-008,1819,1819-TX-E04,Mock Event E04,TX,8,21396,21170,16928,21896,205,152,53,red,False
1819-TX-E04-Q-009,1819,1819-TX-E04,Mock Event E04,TX,9,14966,6066,21170,8028,140,212,-72,blue,False
1819-TX-E04-Q-010,1819,1819-TX-E04,Mock Event E04,TX,10,16928,6066,21170,2739,189,174,15,red,False
1819-TX-E04-Q-011,1819,1819-TX-E04,Mock Event E04,TX,11,8696,24116,2770,21896,110,145,-35,blue,False
1819-TX-E04-Q-012,1819,1819-TX-E04,Mock Event E04,TX,12,2739,5613,14966,9907,143,151,-8,blue,False
1819-TX-E04-Q-013,1819,1819-TX-E04,Mock Event E04,TX,13,21396,9907,2770,2739,152,185,-33,blue,False
1819-TX-E04-Q-014,1819,1819-TX-E04,Mock Event E04,TX,14,8028,10135,21896,14966,262,115,147,red,False
1819-TX-E04-Q-015,1819,1819-TX-E04,Mock Event E04,TX,15,16928,21170,2739,21396,167,154,13,red,False
1819-TX-E04-Q-016,1819,1819-TX-E04,Mock Event E04,TX,16,5613,10135,9907,21896,256,94,162,red,False
1819-TX-E04-Q-017,1819,1819-TX-E04,Mock Event E04,TX,17,16362,21896,24116,9907,150,135,15,red,False
1819-TX-E04-Q-018,1819,1819-TX-E04,Mock Event E04,TX,18,2770,14966,15172,8696,161,157,4,red,False
1819-TX-E04-Q-019,1819,1819-TX-E04,Mock Event E04,TX,19,21170,21396,21896,8696,144,136,8,red,False
1819-TX-E04-Q-020,1819,1819-TX-E04,Mock Event E04,TX,20,21396,8696,16362,2739,154,151,3,red,False
1819-TX-E04-E-SF1-1,1819,1819-TX-E04,Mock Event E04,TX,1,10135,8696,2770,6066,206,249,-43,blue,True
1819-TX-E04-E-SF1-2,1819,1819-TX-E04,Mock Event E04,TX,2,10135,8696,2770,6066,230,206,24,red,True
1819-TX-E04-E-SF1-3,1819,1819-TX-E04,Mock Event E04,TX,3,10135,8696,2770,6066,225,239,-14,blue,True
1819-TX-E04-E-SF2-1,1819,1819-TX-E04,Mock Event E04,TX,1,5613,15172,8028,21396,193,222,-29,blue,True
1819-TX-E04-E-SF2-2,1819,1819-TX-E04,Mock Event E04,TX,2,5613,15172,8028,21396,224,238,-14,blue,True
1819-TX-E04-E-SF2-3,1819,1819-TX-E04,Mock Event E04,TX,3,5613,15172,8028,21396,193,205,-12,blue,True
1819-TX-E04-E-F-1,1819,1819-TX-E04,Mock Event E04,TX,1,10135,8696,5613,15172,235,238,-3,blue,True
1819-TX-E04-E-F-2,1819,1819-TX-E04,Mock Event E04,TX,2,10135,8696,5613,15172,199,205,-6,blue,True
1819-TX-E04-E-F-3,1819,1819-TX-E04,Mock Event E04,TX,3,10135,8696,5613,15172,226,209,17,red,True
1819-TX-E03-Q-001,1819,1819-TX-E03,Mock Event E03,TX,1,16524,17285,3008,17276,203,186,17,red,False
1819-TX-E03-Q-002,1819,1819-TX-E03,Mock Event E03,TX,2,1485,9005,10315,20065,112,262,-150,blue,False
1819-TX-E03-Q-003,1819,1819-TX-E03,Mock Event E03,TX,3,15210,16524,10315,20065,199,197,2,red,False
1819-TX-E03-Q-004,1819,1819-TX-E03,Mock Event E03,TX,4,20065,15476,3985,19016,267,189,78,red,False
1819-TX-E03-Q-005,1819,1819-TX-E03,Mock Event E03,TX,5,10810,1485,11030,9524,123,283,-160,blue,False
1819-TX-E03-Q-006,1819,1819-TX-E03,Mock Event E03,TX,6,11030,19170,21765,11463,241,192,49,red,False
1819-TX-E03-Q-007,1819,1819-TX-E03,Mock Event E03,TX,7,12024,10315,1485,16524,234,156,78,red,False
1819-TX-E03-Q-008,1819,1819-TX-E03,Mock Event E03,TX,8,15210,17276,19170,9005,165,208,-43,blue,False
1819-TX-E03-Q-009,1819,1819-TX-E03,Mock Event E03,TX,9,17276,3985,5722,3008,102,224,-122,blue,False
1819-TX-E03-Q-010,1819,1819-TX-E03,Mock Event E03,TX,10,15210,12931,24086,15476,245,307,-62,blue,False
1819-TX-E03-Q-011,1819,1819-TX-E03,Mock Event E03,TX,11,19016,15476,6011,21765,260,213,47,red,False
1819-TX-E03-Q-012,1819,1819-TX-E03,Mock Event E03,TX,12,18740,11030,19170,19016,171,161,10,red,False
1819-TX-E03-Q-013,1819,1819-TX-E03,Mock Event E03,TX,13,18740,9005,17285,1485,145,148,-3,blue,False
1819-TX-E03-Q-014,1819,1819-TX-E03,Mock Event E03,TX,14,16524,14974,3008,19016,207,235,-28,blue,False
1819-TX-E03-Q-015,1819,1819-TX-E03,Mock Event E03,TX,15,21765,9524,15210,14974,181,157,24,red,False
1819-TX-E03-Q-016,1819,1819-TX-E03,Mock Event E03,TX,16,9524,3985,10810,11463,174,179,-5,blue,False
1819-TX-E03-Q-017,1819,1819-TX-E03,Mock Event E03,TX,17,12931,12024,19735,17285,191,135,56,red,False
1819-TX-E03-Q-018,1819,1819-TX-E03,Mock Event E03,TX,18,5722,12931,15210,10810,182,207,-25,blue,False
1819-TX-E03-Q-019,1819,1819-TX-E03,Mock Event E03,TX,19,24086,10147,3008,10315,215,203,12,red,False
1819-TX-E03-Q-020,1819,1819-TX-E03,Mock Event E03,TX,20,9524,16524,19170,3985,161,182,-21,blue,False
1819-TX-E03-Q-021,1819,1819-TX-E03,Mock Event E03,TX,21,15210,11030,18740,17276,277,132,145,red,False
1819-TX-E03-Q-022,1819,1819-TX-E03,Mock Event E03,TX,22,6011,19735,18740,3985,167,164,3,red,False
1819-TX-E03-Q-023,1819,1819-TX-E03,Mock Event E03,TX,23,3008,3985,5722,17276,227,182,45,red,False
1819-TX-E03-Q-024,1819,1819-TX-E03,Mock Event E03,TX,24,6011,20065,10147,17276,205,157,48,red,False
1819-TX-E03-Q-025,1819,1819-TX-E03,Mock Event E03,TX,25,10147,3985,18740,9524,144,159,-15,blue,False
1819-TX-E03-Q-026,1819,1819-TX-E03,Mock Event E03,TX,26,3985,1485,9005,10147,106,222,-116,blue,False
1819-TX-E03-Q-027,1819,1819-TX-E03,Mock Event E03,TX,27,11475,16524,9005,20065,163,170,-7,blue,False
1819-TX-E03-Q-028,1819,1819-TX-E03,Mock Event E03,TX,28,16524,15476,3985,21765,237,177,60,red,False
1819-TX-E03-Q-029,1819,1819-TX-E03,Mock Event E03,TX,29,6011,15476,9524,19016,244,233,11,red,False
1819-TX-E03-Q-030,1819,1819-TX-E03,Mock Event E03,TX,30,17285,10147,14974,6011,219,162,57,red,False
1819-TX-E03-Q-031,1819,1819-TX-E03,Mock Event E03,TX,31,17276,10810,17285,11463,125,177,-52,blue,False
1819-TX-E03-Q-032,1819,1819-TX-E03,Mock Event E03,TX,32,15210,17285,17276,5722,202,147,55,red,False
1819-TX-E03-Q-033,1819,1819-TX-E03,Mock Event E03,TX,33,18740,19016,9524,11475,205,188,17,red,False
1819-TX-E03-Q-034,1819,1819-TX-E03,Mock Event E03,TX,34,12931,9524,9005,11463,186,195,-9,blue,False
1819-TX-E03-Q-035,1819,1819-TX-E03,Mock Event E03,TX,35,17285,11475,19735,5722,127,192,-65,blue,False
1819-TX-E03-E-SF1-1,1819,1819-TX-E03,Mock Event E03,TX,1,15476,19016,6011,11030,270,259,11,red,True
1819-TX-E03-E-SF1-2,1819,1819-TX-E03,Mock Event E03,TX,2,15476,19016,6011,11030,264,267,-3,blue,True
1819-TX-E03-E-SF2-1,1819,1819-TX-E03,Mock Event E03,TX,1,24086,9524,3008,15210,252,253,-1,blue,True
1819-TX-E03-E-SF2-2,1819,1819-TX-E03,Mock Event E03,TX,2,24086,9524,3008,15210,284,238,46,red,True
1819-TX-E03-E-F-1,1819,1819-TX-E03,Mock Event E03,TX,1,15476,19016,24086,9524,267,267,0,blue,True
1819-TX-E03-E-F-2,1819,1819-TX-E03,Mock Event E03,TX,2,15476,19016,24086,9524,276,263,13,red,True
1819-TX-E03-E-F-3,1819,1819-TX-E03,Mock Event E03,TX,3,15476,19016,24086,9524,262,268,-6,blue,True
1819-TX-E02-Q-001,1819,1819-TX-E02,Mock Event E02,TX,1,23420,9894,15039,2797,228,129,99,red,False
1819-TX-E02-Q-002,1819,1819-TX-E02,Mock Event E02,TX,2,8583,18702,17229,3632,159,195,-36,blue,False
1819-TX-E02-Q-003,1819,1819-TX-E02,Mock Event E02,TX,3,21411,1894,18702,18050,189,191,-2,blue,False
1819-TX-E02-Q-004,1819,1819-TX-E02,Mock Event E02,TX,4,22602,13871,21605,23420,241,236,5,red,False
1819-TX-E02-Q-005,1819,1819-TX-E02,Mock Event E02,TX,5,12598,3632,17229,3272,262,180,82,red,False
1819-TX-E02-Q-006,1819,1819-TX-E02,Mock Event E02,TX,6,19001,2797,12598,23420,200,240,-40,blue,False
1819-TX-E02-Q-007,1819,1819-TX-E02,Mock Event E02,TX,7,6995,7890,15039,23420,124,226,-102,blue,False
1819-TX-E02-Q-008,1819,1819-TX-E02,Mock Event E02,TX,8,8583,12598,1894,9894,174,199,-25,blue,False
1819-TX-E02-Q-009,1819,1819-TX-E02,Mock Event E02,TX,9,3272,18050,15039,3632,211,228,-17,blue,False
1819-TX-E02-Q-010,1819,1819-TX-E02,Mock Event E02,TX,10,7317,18702,15039,21605,195,188,7,red,False
1819-TX-E02-Q-011,1819,1819-TX-E02,Mock Event E02,TX,11,8583,1392,7317,18050,163,153,10,red,False
1819-TX-E02-Q-012,1819,1819-TX-E02,Mock Event E02,TX,12,22602,1392,1894,17229,254,152,102,red,False
1819-TX-E02-Q-013,1819,1819-TX-E02,Mock Event E02,TX,13,18702,3272,1392,22602,193,213,-20,blue,False
1819-TX-E02-Q-014,1819,1819-TX-E02,Mock Event E02,TX,14,19001,12598,1392,7890,215,205,10,red,False
1819-TX-E02-Q-015,1819,1819-TX-E02,Mock Event E02,TX,15,18050,13871,3272,22602,223,213,10,red,False
1819-TX-E02-Q-016,1819,1819-TX-E02,Mock Event E02,TX,16,3632,15039,22602,7317,240,210,30,red,False
1819-TX-E02-Q-017,1819,1819-TX-E02,Mock Event E02,TX,17,21605,7317,23420,1894,180,217,-37,blue,False
1819-TX-E02-Q-018,1819,1819-TX-E02,Mock Event E02,TX,18,21411,9894,15039,17229,213,104,109,red,False
1819-TX-E02-Q-019,1819,1819-TX-E02,Mock Event E02,TX,19,3632,21605,13871,12598,246,266,-20,blue,False
1819-TX-E02-Q-020,1819,1819-TX-E02,Mock Event E02,TX,20,17229,3632,18050,21411,256,217,39,red,False
1819-TX-E02-Q-021,1819,1819-TX-E02,Mock Event E02,TX,21,1894,7317,3272,13871,148,212,-64,blue,False
1819-TX-E02-Q-022,1819,1819-TX-E02,Mock Event E02,TX,22,9894,21411,19001,13871,203,231,-28,blue,False
1819-TX-E02-Q-023,1819,1819-TX-E02,Mock Event E02,TX,23,19001,17229,2797,7890,134,141,-7,blue,False
1819-TX-E02-Q-024,1819,1819-TX-E02,Mock Event E02,TX,24,8583,3632,18702,13871,189,230,-41,blue,False
1819-TX-E02-Q-025,1819,1819-TX-E02,Mock Event E02,TX,25,21605,13871,17229,7890,230,95,135,red,False
1819-TX-E02-Q-026,1819,1819-TX-E02,Mock Event E02,TX,26,1894,15039,23420,1392,190,233,-43,blue,False
1819-TX-E02-E-SF1-1,1819,1819-TX-E02,Mock Event E02,TX,1,3632,18702,22602,12598,266,221,45,red,True
1819-TX-E02-E-SF1-2,1819,1819-TX-E02,Mock Event E02,TX,2,3632,18702,22602,12598,230,235,-5,blue,True
1819-TX-E02-E-SF1-3,1819,1819-TX-E02,Mock Event E02,TX,3,3632,18702,22602,12598,255,266,-11,blue,True
1819-TX-E02-E-SF2-1,1819,1819-TX-E02,Mock Event E02,TX,1,23420,18050,1392,13871,244,247,-3,blue,True
1819-TX-E02-E-SF2-2,1819,1819-TX-E02,Mock Event E02,TX,2,23420,18050,1392,13871,244,251,-7,blue,True
1819-TX-E02-E-SF2-3,1819,1819-TX-E02,Mock Event E02,TX,3,23420,18050,1392,13871,271,238,33,red,True
1819-TX-E02-E-F-1,1819,1819-TX-E02,Mock Event E02,TX,1,3632,18702,23420,18050,246,241,5,red,True
1819-TX-E02-E-F-2,1819,1819-TX-E02,Mock Event E02,TX,2,3632,18702,23420,18050,267,243,24,red,True
1819-TX-E02-E-F-3,1819,1819-TX-E02,Mock Event E02,TX,3,3632,18702,23420,18050,270,272,-2,blue,True
1920-TX-E01-Q-001,1920,1920-TX-E01,Mock Event E01,TX,1,2835,7986,9112,16522,148,148,0,tie,False
1920-TX-E01-Q-002,1920,1920-TX-E01,Mock Event E01,TX,2,15650,16522,9112,20149,200,243,-43,blue,False
1920-TX-E01-Q-003,1920,1920-TX-E01,Mock Event E01,TX,3,15650,16522,18215,4132,197,145,52,red,False
1920-TX-E01-Q-004,1920,1920-TX-E01,Mock Event E01,TX,4,4132,7986,18215,16577,246,155,91,red,False
1920-TX-E01-Q-005,1920,1920-TX-E01,Mock Event E01,TX,5,16577,15807,9112,9138,129,168,-39,blue,False
1920-TX-E01-Q-006,1920,1920-TX-E01,Mock Event E01,TX,6,2835,7986,12045,16522,172,130,42,red,False
1920-TX-E01-Q-007,1920,1920-TX-E01,Mock Event E01,TX,7,4132,15807,16522,23922,105,141,-36,blue,False
1920-TX-E01-Q-008,1920,1920-TX-E01,Mock Event E01,TX,8,2835,7986,9112,16577,171,205,-34,blue,False
1920-TX-E01-Q-009,1920,1920-TX-E01,Mock Event E01,TX,9,4132,9112,9138,7986,208,148,60,red,False
1920-TX-E01-Q-010,1920,1920-TX-E01,Mock Event E01,TX,10,16577,9112,15650,15807,186,155,31,red,False
1920-TX-E01-Q-011,1920,1920-TX-E01,Mock Event E01,TX,11,4132,15650,2835,9138,178,77,101,red,False
1920-TX-E01-Q-012,1920,1920-TX-E01,Mock Event E01,TX,12,23922,4132,2835,15807,162,111,51,red,False
1920-TX-E01-Q-013,1920,1920-TX-E01,Mock Event E01,TX,13,15650,9138,9112,15807,220,205,15,red,False
1920-TX-E01-Q-014,1920,1920-TX-E01,Mock Event E01,TX,14,16522,16577,7986,15650,176,244,-68,blue,False
1920-TX-E01-Q-015,1920,1920-TX-E01,Mock Event E01,TX,15,9112,23922,20149,16522,202,128,74,red,False
1920-TX-E01-Q-016,1920,1920-TX-E01,Mock Event E01,TX,16,18215,16522,16577,9112,148,234,-86,blue,False
1920-TX-E01-E-SF1-1,1920,1920-TX-E01,Mock Event E01,TX,1,15650,4132,12045,20149,197,212,-15,blue,True
1920-TX-E01-E-SF1-2,1920,1920-TX-E01,Mock Event E01,TX,2,15650,4132,12045,20149,214,188,26,red,True
1920-TX-E01-E-SF1-3,1920,1920-TX-E01,Mock Event E01,TX,3,15650,4132,12045,20149,189,199,-10,blue,True
1920-TX-E01-E-SF2-1,1920,1920-TX-E01,Mock Event E01,TX,1,7986,23922,9112,9138,188,194,-6,blue,True
1920-TX-E01-E-SF2-2,1920,1920-TX-E01,Mock Event E01,TX,2,7986,23922,9112,9138,174,242,-68,blue,True
1920-TX-E01-E-SF2-3,1920,1920-TX-E01,Mock Event E01,TX,3,7986,23922,9112,9138,212,212,0,blue,True
1920-TX-E01-E-F-1,1920,1920-TX-E01,Mock Event E01,TX,1,15650,4132,7986,23922,199,211,-12,blue,True
1920-TX-E01-E-F-2,1920,1920-TX-E01,Mock Event E01,TX,2,15650,4132,7986,23922,191,213,-22,blue,True
1920-TX-E01-E-F-3,1920,1920-TX-E01,Mock Event E01,TX,3,15650,4132,7986,23922,188,230,-42,blue,True
1920-TX-E04-Q-001,1920,1920-TX-E04,Mock Event E04,TX,1,22373,12704,3589,6354,210,256,-46,blue,False
1920-TX-E04-Q-002,1920,1920-TX-E04,Mock Event E04,TX,2,22373,12704,5857,6354,205,220,-15,blue,False
1920-TX-E04-Q-003,1920,1920-TX-E04,Mock Event E04,TX,3,12704,13340,24493,12291,274,138,136,red,False
1920-TX-E04-Q-004,1920,1920-TX-E04,Mock Event E04,TX,4,19560,3589,5857,19238,205,206,-1,blue,False
1920-TX-E04-Q-005,1920,1920-TX-E04,Mock Event E04,TX,5,12291,5857,6354,24493,270,119,151,red,False
1920-TX-E04-Q-006,1920,1920-TX-E04,Mock Event E04,TX,6,3589,12704,3130,24493,265,93,172,red,False
1920-TX-E04-Q-007,1920,1920-TX-E04,Mock Event E04,TX,7,12291,3130,13137,24493,193,170,23,red,False
1920-TX-E04-Q-008,1920,1920-TX-E04,Mock Event E04,TX,8,12291,3130,13137,12704,252,255,-3,blue,False
1920-TX-E04-Q-009,1920,1920-TX-E04,Mock Event E04,TX,9,19238,12704,13340,3130,273,164,109,red,False
1920-TX-E04-Q-010,1920,1920-TX-E04,Mock Event E04,TX,10,13340,12704,3589,3130,230,143,87,red,False
1920-TX-E04-Q-011,1920,1920-TX-E04,Mock Event E04,TX,11,12704,3589,5857,3130,265,192,73,red,False
1920-TX-E04-Q-012,1920,1920-TX-E04,Mock Event E04,TX,12,12291,5857,19560,3130,256,153,103,red,False
1920-TX-E04-Q-013,1920,1920-TX-E04,Mock Event E04,TX,13,13137,19560,12291,13340,183,239,-56,blue,False
1920-TX-E04-Q-014,1920,1920-TX-E04,Mock Event E04,TX,14,19238,3589,12704,24493,200,192,8,red,False
1920-TX-E04-Q-015,1920,1920-TX-E04,Mock Event E04,TX,15,6354,13340,19238,12704,238,180,58,red,False
1920-TX-E04-E-SF1-1,1920,1920-TX-E04,Mock Event E04,TX,1,12704,19238,3589,5857,262,233,29,red,True
1920-TX-E04-E-SF1-2,1920,1920-TX-E04,Mock Event E04,TX,2,12704,19238,3589,5857,239,237,2,red,True
1920-TX-E04-E-SF1-3,1920,1920-TX-E04,Mock Event E04,TX,3,12704,19238,3589,5857,247,236,11,red,True
1920-TX-E04-E-SF2-1,1920,1920-TX-E04,Mock Event E04,TX,1,13340,13137,12291,6354,239,247,-8,blue,True
1920-TX-E04-E-SF2-2,1920,1920-TX-E04,Mock Event E04,TX,2,13340,13137,12291,6354,248,248,0,blue,True
1920-TX-E04-E-F-1,1920,1920-TX-E04,Mock Event E04,TX,1,12704,19238,13340,13137,261,248,13,red,True
1920-TX-E04-E-F-2,1920,1920-TX-E04,Mock Event E04,TX,2,12704,19238,13340,13137,245,237,8,red,True
1920-TX-E04-E-F-3,1920,1920-TX-E04,Mock Event E04,TX,3,12704,19238,13340,13137,232,249,-17,blue,True
1920-TX-E02-Q-001,1920,1920-TX-E02,Mock Event E02,TX,1,11146,17357,8473,17921,192,143,49,red,False
1920-TX-E02-Q-002,1920,1920-TX-E02,Mock Event E02,TX,2,8198,9430,18211,21340,141,205,-64,blue,False
1920-TX-E02-Q-003,1920,1920-TX-E02,Mock Event E02,TX,3,3488,18211,7229,5553,181,213,-32,blue,False
1920-TX-E02-Q-004,1920,1920-TX-E02,Mock Event E02,TX,4,1351,6974,17357,19195,134,194,-60,blue,False
1920-TX-E02-Q-005,1920,1920-TX-E02,Mock Event E02,TX,5,21340,4997,18641,23772,245,113,132,red,False
1920-TX-E02-Q-006,1920,1920-TX-E02,Mock Event E02,TX,6,6544,11146,12091,17994,254,169,85,red,False
1920-TX-E02-Q-007,1920,1920-TX-E02,Mock Event E02,TX,7,7229,17921,8198,8473,192,128,64,red,False
1920-TX-E02-Q-008,1920,1920-TX-E02,Mock Event E02,TX,8,3839,8004,21261,6974,175,145,30,red,False
1920-TX-E02-Q-009,1920,1920-TX-E02,Mock Event E02,TX,9,18078,2423,23772,11146,182,71,111,red,False
1920-TX-E02-Q-010,1920,1920-TX-E02,Mock Event E02,TX,10,18078,14947,18211,21340,166,176,-10,blue,False
1920-TX-E02-Q-011,1920,1920-TX-E02,Mock Event E02,TX,11,18211,23665,8473,9430,194,122,72,red,False
1920-TX-E02-Q-012,1920,1920-TX-E02,Mock Event E02,TX,12,6974,18211,12091,4997,191,243,-52,blue,False
1920-TX-E02-Q-013,1920,1920-TX-E02,Mock Event E02,TX,13,4997,23772,15822,2423,159,134,25,red,False
1920-TX-E02-Q-014,1920,1920-TX-E02,Mock Event E02,TX,14,3839,17357,23665,18211,229,218,11,red,False
1920-TX-E02-Q-015,1920,1920-TX-E02,Mock Event E02,TX,15,7229,23772,18078,8473,161,145,16,red,False
1920-TX-E02-Q-016,1920,1920-TX-E02,Mock Event E02,TX,16,9430,12091,4997,21261,142,212,-70,blue,False
1920-TX-E02-Q-017,1920,1920-TX-E02,Mock Event E02,TX,17,21811,21340,12091,18078,247,178,69,red,False
1920-TX-E02-Q-018,1920,1920-TX-E02,Mock Event E02,TX,18,6974,3839,9375,7229,187,188,-1,blue,False
1920-TX-E02-Q-019,1920,1920-TX-E02,Mock Event E02,TX,19,21340,4888,17357,23772,172,174,-2,blue,False
1920-TX-E02-Q-020,1920,1920-TX-E02,Mock Event E02,TX,20,21261,13944,8004,16261,132,124,8,red,False
1920-TX-E02-Q-021,1920,1920-TX-E02,Mock Event E02,TX,21,1351,6408,21340,18078,104,167,-63,blue,False
1920-TX-E02-Q-022,1920,1920-TX-E02,Mock Event E02,TX,22,7229,23665,17357,19195,229,186,43,red,False
1920-TX-E02-Q-023,1920,1920-TX-E02,Mock Event E02,TX,23,8473,5553,17357,17994,144,203,-59,blue,False
1920-TX-E02-Q-024,1920,1920-TX-E02,Mock Event E02,TX,24,8004,18078,6974,23665,169,218,-49,blue,False
1920-TX-E02-Q-025,1920,1920-TX-E02,Mock Event E02,TX,25,21811,6408,11146,8198,235,93,142,red,False
1920-TX-E02-Q-026,1920,1920-TX-E02,Mock Event E02,TX,26,23665,9430,7229,17357,157,228,-71,blue,False
1920-TX-E02-Q-027,1920,1920-TX-E02,Mock Event E02,TX,27,16261,6974,14947,12091,113,128,-15,blue,False
1920-TX-E02-Q-028,1920,1920-TX-E02,Mock Event E02,TX,28,18641,17921,6974,4888,154,176,-22,blue,False
1920-TX-E02-Q-029,1920,1920-TX-E02,Mock Event E02,TX,29,19195,6892,6544,8473,129,214,-85,blue,False
1920-TX-E02-Q-030,1920,1920-TX-E02,Mock Event E02,TX,30,8473,15822,2423,6974,139,172,-33,blue,False
1920-TX-E02-Q-031,1920,1920-TX-E02,Mock Event E02,TX,31,21811,9430,18078,13944,184,141,43,red,False
1920-TX-E02-Q-032,1920,1920-TX-E02,Mock Event E02,TX,32,8198,6974,23665,14947,146,228,-82,blue,False
1920-TX-E02-Q-033,1920,1920-TX-E02,Mock Event E02,TX,33,9430,9375,19195,13944,111,106,5,red,False
1920-TX-E02-Q-034,1920,1920-TX-E02,Mock Event E02,TX,34,13944,23665,6892,9375,148,128,20,red,False
1920-TX-E02-Q-035,1920,1920-TX-E02,Mock Event E02,TX,35,7229,8473,6892,4997,251,243,8,red,False
1920-TX-E02-Q-036,1920,1920-TX-E02,Mock Event E02,TX,36,19195,21340,18078,21811,172,207,-35,blue,False
1920-TX-E02-Q-037,1920,1920-TX-E02,Mock Event E02,TX,37,21340,1351,18078,4888,131,146,-15,blue,False
1920-TX-E02-Q-038,1920,1920-TX-E02,Mock Event E02,TX,38,1351,4888,4997,6408,102,245,-143,blue,False
1920-TX-E02-Q-039,1920,1920-TX-E02,Mock Event E02,TX,39,7229,15822,23772,6408,198,93,105,red,False
1920-TX-E02-Q-040,1920,1920-TX-E02,Mock Event E02,TX,40,5553,4997,15822,23772,191,118,73,red,False
1920-TX-E02-Q-041,1920,1920-TX-E02,Mock Event E02,TX,41,3488,17921,6408,23772,182,89,93,red,False
1920-TX-E02-Q-042,1920,1920-TX-E02,Mock Event E02,TX,42,21261,8473,3488,8198,139,169,-30,blue,False
1920-TX-E02-Q-043,1920,1920-TX-E02,Mock Event E02,TX,43,4997,21340,9430,17994,225,137,88,red,False
1920-TX-E02-E-SF1-1,1920,1920-TX-E02,Mock Event E02,TX,1,4997,18211,7229,23665,258,239,19,red,True
