team_number,event_key,season,ranking,wins,losses,ties,opr,np_opr,ccwm
11475,1819-TX-E03,1819,27,0,3,0,62.8,59.55,-47.67
17276,1819-TX-E03,1819,28,0,8,0,51.48,48.02,-89.45
2770,1819-TX-E04,1819,1,6,0,0,113.06,104.67,50.06
21170,1819-TX-E04,1819,2,4,3,0,86.95,85.74,9.95
21396,1819-TX-E04,1819,3,4,5,0,91.41,84.45,-3.24
8696,1819-TX-E04,1819,4,4,4,0,87.26,87.74,-5.33
8028,1819-TX-E04,1819,5,3,0,0,124.36,112.12,37.58
5613,1819-TX-E04,1819,6,3,2,0,100.23,97.57,18.14
16928,1819-TX-E04,1819,7,3,2,0,95.22,84.75,7.06
10135,1819-TX-E04,1819,8,2,0,0,146.7,154.15,126.64
6066,1819-TX-E04,1819,9,2,1,0,83.15,85.69,-10.43
24116,1819-TX-E04,1819,10,2,2,0,56.98,55.11,7.09
14966,1819-TX-E04,1819,11,2,2,0,62.12,62.61,-41.9
21896,1819-TX-E04,1819,12,2,5,0,50.14,37.41,-50.12
2739,1819-TX-E04,1819,13,1,6,0,65.61,62.73,-23.76
16362,1819-TX-E04,1819,14,1,3,0,76.92,71.85,10.17
9907,1819-TX-E04,1819,15,1,4,0,72.19,73.8,-28.92
15172,1819-TX-E04,1819,16,0,1,0,69.74,39.26,1.33
9112,1920-TX-E01,1920,1,8,1,1,134.87,129.76,60.67
23922,1920-TX-E01,1920,2,5,0,0,63.93,62.52,35.79
4132,1920-TX-E01,1920,3,5,3,0,82.29,68.75,39.68
7986,1920-TX-E01,1920,4,4,3,1,96.62,95.25,11.87
15650,1920-TX-E01,1920,5,4,4,0,104.57,99.39,15.93
16522,1920-TX-E01,1920,6,3,5,1,79.69,76.9,-15.84
16577,1920-TX-E01,1920,7,3,4,0,74.81,69.03,-23.91
9138,1920-TX-E01,1920,8,2,2,0,54.47,56.17,-45.01
2835,1920-TX-E01,1920,9,1,3,1,59.06,58.94,-15.44
20149,1920-TX-E01,1920,10,1,2,0,60.21,63.1,-56.98
18215,1920-TX-E01,1920,11,1,3,0,76.48,84.14,-50.4
12045,1920-TX-E01,1920,12,1,2,0,44.68,48.27,-13.75
15807,1920-TX-E01,1920,13,0,6,0,39.35,42.4,-57.44
7229,1920-TX-E02,1920,1,8,0,0,133.24,131.48,43.99
4997,1920-TX-E02,1920,2,7,1,0,146.03,141.94,85.58
17357,1920-TX-E02,1920,3,6,1,0,128.04,114.25,57.09
21340,1920-TX-E02,1920,4,6,3,0,98.01,96.05,34.65
23665,1920-TX-E02,1920,5,5,2,0,113.46,118.4,25.78
21811,1920-TX-E02,1920,6,4,0,0,139.34,141.48,69.98
18078,1920-TX-E02,1920,7,4,5,0,81.32,77.49,-6.74
18211,1920-TX-E02,1920,8,3,3,0,90.43,84.46,-19.16
6974,1920-TX-E02,1920,9,3,6,0,94.33,86.24,-2.14
23772,1920-TX-E02,1920,10,3,5,0,24.57,23.08,-75.53
6544,1920-TX-E02,1920,11,2,0,0,168.51,151.13,122.88
3839,1920-TX-E02,1920,12,2,1,0,93.27,106.33,-4.24
5553,1920-TX-E02,1920,13,2,1,0,65.15,56.29,-17.01
3488,1920-TX-E02,1920,14,2,1,0,105.17,98.11,47.22
14947,1920-TX-E02,1920,15,2,1,0,81.45,80.72,36.17
12091,1920-TX-E02,1920,16,2,3,0,82.86,83.94,-40.53
17921,1920-TX-E02,1920,17,2,2,0,68.03,66.78,19.02
2423,1920-TX-E02,1920,18,2,1,0,81.05,84.85,43.04
8473,1920-TX-E02,1920,19,2,7,0,73.28,75.7,-32.53
21261,1920-TX-E02,1920,20,2,2,0,65.7,69.53,-8.87
6408,1920-TX-E02,1920,21,2,3,0,80.0,73.7,19.9
11146,1920-TX-E02,1920,22,2,2,0,57.71,50.03,-43.23
4888,1920-TX-E02,1920,23,2,2,0,72.72,73.32,-13.44
9375,1920-TX-E02,1920,24,2,1,0,52.32,48.94,12.54
9430,1920-TX-E02,1920,25,2,5,0,56.3,49.83,-38.73
13944,1920-TX-E02,1920,26,2,2,0,51.59,36.02,2.59
17994,1920-TX-E02,1920,27,1,2,0,80.6,80.33,-30.61
19195,1920-TX-E02,1920,28,1,4,0,60.17,57.51,-40.51
8004,1920-TX-E02,1920,29,1,2,0,88.83,71.52,-2.24
15822,1920-TX-E02,1920,30,1,3,0,69.22,64.72,-1.24
8198,1920-TX-E02,1920,31,1,4,0,58.04,61.42,-50.52
6892,1920-TX-E02,1920,32,0,3,0,80.5,78.87,-56.87
18641,1920-TX-E02,1920,33,0,2,0,87.2,58.57,-48.74
16261,1920-TX-E02,1920,34,0,2,0,26.92,39.62,-9.31
1351,1920-TX-E02,1920,35,0,4,0,31.49,32.92,-79.99
5834,1920-TX-E03,1920,1,7,4,0,110.45,103.14,24.03
20402,1920-TX-E03,1920,2,6,1,0,106.07,108.74,51.73
2686,1920-TX-E03,1920,3,5,2,0,129.81,118.74,26.17
14300,1920-TX-E03,1920,4,4,0,0,138.25,137.93,61.52
22097,1920-TX-E03,1920,5,4,3,0,117.08,117.12,50.45
14885,1920-TX-E03,1920,6,3,2,0,100.62,93.5,15.3
20017,1920-TX-E03,1920,7,3,2,0,122.06,111.26,-19.47
18301,1920-TX-E03,1920,8,3,5,0,88.29,82.96,-14.85
19463,1920-TX-E03,1920,9,3,3,0,88.28,90.13,-7.28
11910,1920-TX-E03,1920,10,3,4,0,79.61,74.79,13.14
5937,1920-TX-E03,1920,11,3,3,0,53.11,44.6,4.07
1530,1920-TX-E03,1920,12,2,1,0,71.89,81.51,8.85
18485,1920-TX-E03,1920,13,1,0,0,111.75,112.07,-47.52
23476,1920-TX-E03,1920,14,1,2,0,93.77,96.92,-33.02
7690,1920-TX-E03,1920,15,1,1,0,105.73,104.82,27.55
3474,1920-TX-E03,1920,16,1,1,0,48.1,27.22,-28.14
1408,1920-TX-E03,1920,17,1,4,0,56.13,52.92,-46.47
20503,1920-TX-E03,1920,18,1,4,0,60.45,53.68,-40.44
7483,1920-TX-E03,1920,19,1,4,0,65.46,48.47,-26.25
10542,1920-TX-E03,1920,20,1,4,0,-2.33,-0.86,-72.11
5530,1920-TX-E03,1920,21,0,2,0,44.05,53.69,-70.39
5383,1920-TX-E03,1920,22,0,2,0,37.05,26.59,-76.8
5857,1920-TX-E04,1920,1,6,1,0,128.69,120.74,58.78
12704,1920-TX-E04,1920,2,6,7,0,111.94,108.57,53.29
6354,1920-TX-E04,1920,3,6,1,0,80.85,76.39,10.14
12291,1920-TX-E04,1920,4,5,3,0,102.21,97.71,40.24
3589,1920-TX-E04,1920,5,5,4,0,96.46,94.9,20.68
13340,1920-TX-E04,1920,6,4,1,0,135.52,137.71,28.43
19238,1920-TX-E04,1920,7,4,2,0,91.82,90.19,-33.4
13137,1920-TX-E04,1920,8,2,2,0,97.22,93.43,9.51
3130,1920-TX-E04,1920,9,2,8,0,60.43,60.21,-71.1
19560,1920-TX-E04,1920,10,0,3,0,95.63,80.82,-39.7
22373,1920-TX-E04,1920,11,0,3,0,56.06,56.09,-100.29
24493,1920-TX-E04,1920,12,0,5,0,51.87,48.14,-106.42
9582,2021-TX-E01,2021,1,8,1,0,119.35,116.12,65.32
5583,2021-TX-E01,2021,2,8,2,0,102.9,94.32,20.33
11878,2021-TX-E01,2021,3,7,1,0,130.77,132.0,37.81
7586,2021-TX-E01,2021,4,7,1,0,123.57,116.61,38.94
14305,2021-TX-E01,2021,5,6,2,0,111.27,109.06,32.09
8451,2021-TX-E01,2021,6,4,3,0,53.6,53.86,-33.09
2728,2021-TX-E01,2021,7,3,2,0,135.23,130.33,46.8
7613,2021-TX-E01,2021,8,3,3,0,114.52,113.68,15.23
9874,2021-TX-E01,2021,9,3,3,0,115.03,109.55,37.74
17099,2021-TX-E01,2021,10,3,1,0,111.82,111.71,35.4
2349,2021-TX-E01,2021,11,3,2,0,78.42,80.9,-4.13
20791,2021-TX-E01,2021,12,3,4,0,61.08,59.35,-8.76
10800,2021-TX-E01,2021,13,2,3,0,110.82,106.82,-0.95
8643,2021-TX-E01,2021,14,2,3,0,119.33,111.56,22.01
21018,2021-TX-E01,2021,15,2,2,0,79.89,82.83,-12.62
7252,2021-TX-E01,2021,16,2,3,0,58.71,59.5,-45.81
4304,2021-TX-E01,2021,17,1,0,0,116.73,113.94,17.91
3755,2021-TX-E01,2021,18,1,1,0,117.38,101.92,43.07
15489,2021-TX-E01,2021,19,1,3,0,114.58,106.88,28.16
23517,2021-TX-E01,2021,20,1,5,0,71.76,73.43,-46.63
23460,2021-TX-E01,2021,21,1,4,0,75.03,72.76,-60.27
1590,2021-TX-E01,2021,22,1,6,0,44.19,38.45,-46.52
18579,2021-TX-E01,2021,23,1,1,0,49.42,34.06,-100.04
24577,2021-TX-E01,2021,24,1,3,0,34.92,40.56,-57.73
15831,2021-TX-E01,2021,25,0,1,0,79.48,80.32,-64.23
2908,2021-TX-E01,2021,26,0,3,0,61.12,62.74,-65.12
2506,2021-TX-E01,2021,27,0,2,0,60.13,57.77,-84.44
7009,2021-TX-E01,2021,28,0,6,0,56.71,58.49,-60.37
18768,2021-TX-E01,2021,29,0,3,0,72.63,65.87,14.8
9428,2021-TX-E02,2021,1,8,0,0,141.63,144.67,89.48
24841,2021-TX-E02,2021,2,6,2,0,124.4,120.14,30.38
18899,2021-TX-E02,2021,3,4,2,0,148.58,143.77,74.36
23204,2021-TX-E02,2021,4,4,2,0,152.02,144.35,62.73
6451,2021-TX-E02,2021,5,4,3,0,118.95,109.74,50.99
8364,2021-TX-E02,2021,6,3,1,0,125.1,119.48,19.52
16724,2021-TX-E02,2021,7,3,2,0,67.43,64.39,-13.63
18374,2021-TX-E02,2021,8,2,1,0,133.6,133.11,-7.35
12905,2021-TX-E02,2021,9,2,1,0,126.95,124.91,35.32
2365,2021-TX-E02,2021,10,2,2,0,115.87,119.71,5.38
2780,2021-TX-E02,2021,11,2,2,0,72.67,65.63,-48.2
16252,2021-TX-E02,2021,12,2,1,0,93.87,98.77,6.69
18751,2021-TX-E02,2021,13,2,3,0,123.15,124.05,40.78
9152,2021-TX-E02,2021,14,2,3,0,94.47,89.96,8.72
1786,2021-TX-E02,2021,15,2,5,0,58.21,55.03,-72.2
10747,2021-TX-E02,2021,16,2,4,0,81.31,72.59,-28.9
6034,2021-TX-E02,2021,17,2,6,0,60.53,55.41,-47.94
3124,2021-TX-E02,2021,18,2,3,0,70.87,66.35,-25.04
21987,2021-TX-E02,2021,19,2,2,0,24.5,16.03,-20.39
18588,2021-TX-E02,2021,20,1,2,0,53.65,56.61,-79.2
8885,2021-TX-E02,2021,21,1,4,0,69.59,71.02,-77.71
10465,2021-TX-E02,2021,22,1,5,0,36.18,38.84,-15.8
8275,2021-TX-E02,2021,23,1,2,0,47.21,44.62,-14.9
17682,2021-TX-E02,2021,24,0,2,0,13.95,13.11,-146.89
2714,2021-TX-E03,2021,1,8,1,0,130.56,128.7,36.09
5892,2021-TX-E03,2021,2,7,1,0,123.45,116.7,73.33
14691,2021-TX-E03,2021,3,5,2,0,105.51,105.32,14.37
21003,2021-TX-E03,2021,4,5,3,0,81.88,79.86,30.88
14699,2021-TX-E03,2021,5,3,1,0,141.47,140.78,102.3
9351,2021-TX-E03,2021,6,3,0,0,109.91,112.13,110.66
16367,2021-TX-E03,2021,7,3,1,0,63.73,66.11,17.99
17533,2021-TX-E03,2021,8,3,1,0,102.03,103.75,13.57
24300,2021-TX-E03,2021,9,3,3,0,81.18,78.23,-12.32
24927,2021-TX-E03,2021,10,3,4,0,38.95,35.9,-22.85
12601,2021-TX-E03,2021,11,3,6,0,48.95,50.91,-17.86
11806,2021-TX-E03,2021,12,2,0,0,141.64,136.19,-27.26
21762,2021-TX-E03,2021,13,2,1,0,130.82,129.49,54.86
16643,2021-TX-E03,2021,14,2,3,0,99.41,100.95,45.75
1222,2021-TX-E03,2021,15,2,4,0,117.24,109.91,-10.78
12646,2021-TX-E03,2021,16,2,1,0,104.14,90.29,-40.93
21864,2021-TX-E03,2021,17,2,3,0,80.96,75.33,-46.12
14836,2021-TX-E03,2021,18,1,3,0,86.06,85.63,-59.86
8543,2021-TX-E03,2021,19,1,3,0,119.86,113.83,44.73
14315,2021-TX-E03,2021,20,1,1,0,57.45,56.81,33.65
5545,2021-TX-E03,2021,21,1,6,0,53.7,45.61,-18.19
2639,2021-TX-E03,2021,22,1,2,0,58.5,51.14,-75.79
19635,2021-TX-E03,2021,23,1,5,0,39.24,38.36,-58.27
23891,2021-TX-E03,2021,24,1,5,0,47.86,36.11,-62.18
14749,2021-TX-E03,2021,25,1,2,0,32.47,33.39,-96.05
10302,2021-TX-E03,2021,26,0,1,0,109.53,80.22,-129.3
3318,2021-TX-E03,2021,27,0,3,0,29.95,27.75,-54.83
2217,2021-TX-E04,2021,1,10,1,0,114.26,112.88,28.71
11339,2021-TX-E04,2021,2,8,1,0,142.75,137.86,52.58
9504,2021-TX-E04,2021,3,4,0,0,103.26,101.89,52.96
11119,2021-TX-E04,2021,4,4,4,0,95.79,82.04,4.5
18751,2021-TX-E04,2021,5,3,0,0,118.2,124.44,22.08
3275,2021-TX-E04,2021,6,3,2,0,128.78,131.24,28.72
2760,2021-TX-E04,2021,7,3,3,0,64.78,67.35,-25.26
19651,2021-TX-E04,2021,8,3,3,0,69.53,64.78,-5.35
19407,2021-TX-E04,2021,9,3,4,0,82.36,78.76,-15.45
19114,2021-TX-E04,2021,10,2,1,0,116.56,112.35,40.46
5399,2021-TX-E04,2021,11,2,3,0,94.88,97.32,-28.7
8319,2021-TX-E04,2021,12,2,3,0,83.15,79.12,-0.03
3335,2021-TX-E04,2021,13,1,3,0,100.75,95.09,7.9
14171,2021-TX-E04,2021,14,1,1,0,70.65,74.76,-26.21
7611,2021-TX-E04,2021,15,1,3,0,72.2,66.94,-10.4
19350,2021-TX-E04,2021,16,1,3,0,60.33,51.98,-45.23
16688,2021-TX-E04,2021,17,1,4,0,65.36,61.93,-34.97
5491,2021-TX-E04,2021,18,0,4,0,80.41,80.29,-43.12
8957,2021-TX-E04,2021,19,0,3,0,95.81,98.31,-34.31
22159,2021-TX-E04,2021,20,0,2,0,82.45,84.58,-60.23
24767,2021-TX-E04,2021,21,0,4,0,50.55,44.84,-29.64
5870,2122-TX-E01,2122,1,6,1,0,121.13,120.31,40.7
4732,2122-TX-E01,2122,2,6,3,0,68.56,65.53,33.42
1705,2122-TX-E01,2122,3,5,1,0,105.59,99.89,39.28
21145,2122-TX-E01,2122,4,4,2,0,131.6,128.42,76.74
11296,2122-TX-E01,2122,5,4,2,0,77.29,74.8,7.26
8088,2122-TX-E01,2122,6,3,3,0,94.28,89.02,18.89
13185,2122-TX-E01,2122,7,3,5,0,83.37,82.24,-16.34
17306,2122-TX-E01,2122,8,3,3,0,65.69,67.95,12.68
6376,2122-TX-E01,2122,9,2,2,0,95.19,90.31,-7.41
10282,2122-TX-E01,2122,10,2,2,0,89.94,90.86,-26.97
20616,2122-TX-E01,2122,11,1,8,0,26.66,24.61,-66.28
5040,2122-TX-E01,2122,12,1,8,0,31.54,29.61,-72.23
4304,2122-TX-E02,2122,1,9,1,0,156.3,141.17,48.05
3623,2122-TX-E02,2122,2,5,1,0,97.68,102.32,14.87
4331,2122-TX-E02,2122,3,5,2,0,144.23,127.73,49.0
9756,2122-TX-E02,2122,4,5,1,0,121.04,117.1,43.64
23645,2122-TX-E02,2122,5,3,1,0,133.73,126.86,9.31
9755,2122-TX-E02,2122,6,3,4,0,114.89,114.34,-9.63
22097,2122-TX-E02,2122,7,3,1,0,123.09,118.73,58.47
17659,2122-TX-E02,2122,8,3,4,0,134.1,127.16,7.1
11682,2122-TX-E02,2122,9,2,0,0,130.4,135.74,42.79
11227,2122-TX-E02,2122,10,2,2,0,143.88,127.4,-20.04
6906,2122-TX-E02,2122,11,2,3,0,82.23,90.51,1.02
19771,2122-TX-E02,2122,12,2,3,0,82.1,80.74,-25.1
3572,2122-TX-E02,2122,13,2,2,0,63.07,69.39,19.26
24242,2122-TX-E02,2122,14,2,1,0,54.44,61.25,-42.38
6282,2122-TX-E02,2122,15,2,4,0,53.23,55.78,-15.86
15393,2122-TX-E02,2122,16,2,1,0,34.97,32.92,15.21
21469,2122-TX-E02,2122,17,2,4,0,41.71,33.74,-49.0
5416,2122-TX-E02,2122,18,1,4,0,123.17,124.46,0.68
19102,2122-TX-E02,2122,19,1,3,0,135.16,126.33,-16.92
15902,2122-TX-E02,2122,20,1,3,0,112.9,113.34,-8.96
22347,2122-TX-E02,2122,21,1,2,0,95.26,83.24,-12.76
7590,2122-TX-E02,2122,22,1,3,0,62.31,54.44,-53.87
19104,2122-TX-E02,2122,23,1,8,0,41.61,31.22,-50.54
12579,2122-TX-E02,2122,24,0,2,0,54.56,42.9,-55.34
21096,2122-TX-E03,2122,1,8,3,0,110.89,107.26,13.16
24581,2122-TX-E03,2122,2,6,2,0,104.38,96.95,4.46
23753,2122-TX-E03,2122,3,6,3,0,90.99,89.86,22.25
10469,2122-TX-E03,2122,4,3,0,0,121.95,100.04,82.26
20130,2122-TX-E03,2122,5,3,0,0,101.61,100.71,60.53
15737,2122-TX-E03,2122,6,3,1,0,82.11,81.39,20.94
17939,2122-TX-E03,2122,7,2,1,0,128.64,123.23,53.23
22399,2122-TX-E03,2122,8,2,3,0,124.91,128.66,5.81
1823,2122-TX-E03,2122,9,2,2,0,93.26,103.76,-2.19
9691,2122-TX-E03,2122,10,2,4,0,90.1,92.11,-21.78
3757,2122-TX-E03,2122,11,2,3,0,95.28,97.53,-3.92
1113,2122-TX-E03,2122,12,2,1,0,48.02,35.66,-17.54
24144,2122-TX-E03,2122,13,1,3,0,51.26,47.01,-11.98
17586,2122-TX-E03,2122,14,1,2,0,46.34,39.79,-58.76
1302,2122-TX-E03,2122,15,1,6,0,59.79,47.08,-41.29
6609,2122-TX-E03,2122,16,0,7,0,47.35,38.94,-42.97
10567,2122-TX-E03,2122,17,0,1,0,78.65,82.06,35.97
3789,2122-TX-E03,2122,18,0,2,0,44.93,50.49,-45.87
4073,2122-TX-E04,2122,1,6,0,0,153.93,150.97,68.55
9099,2122-TX-E04,2122,2,5,1,0,127.75,132.25,53.51
15571,2122-TX-E04,2122,3,5,2,0,98.29,98.86,3.23
15573,2122-TX-E04,2122,4,5,2,0,112.06,107.02,31.31
5931,2122-TX-E04,2122,5,5,3,0,82.65,73.52,22.38
4336,2122-TX-E04,2122,6,4,3,0,79.79,82.42,6.95
10056,2122-TX-E04,2122,7,4,3,0,80.94,86.68,-25.22
6235,2122-TX-E04,2122,8,3,0,0,126.04,111.72,30.13
8849,2122-TX-E04,2122,9,3,3,0,90.37,79.35,7.59
1944,2122-TX-E04,2122,10,2,2,0,108.77,111.39,-11.73
8143,2122-TX-E04,2122,11,2,5,0,76.82,70.39,-33.15
1907,2122-TX-E04,2122,12,2,2,0,80.5,84.91,6.61
21590,2122-TX-E04,2122,13,2,2,0,56.69,62.71,-27.67
8600,2122-TX-E04,2122,14,1,1,0,111.44,109.37,38.46
24681,2122-TX-E04,2122,15,1,4,0,121.96,121.34,1.68
19455,2122-TX-E04,2122,16,1,2,0,86.35,68.27,-16.16
10697,2122-TX-E04,2122,17,1,3,0,76.44,64.46,0.19
7113,2122-TX-E04,2122,18,1,3,0,59.88,51.11,-1.35
9338,2122-TX-E04,2122,19,1,4,0,34.35,29.98,-68.56
21750,2122-TX-E04,2122,20,0,5,0,63.51,53.0,-41.7
8078,2122-TX-E04,2122,21,0,2,0,61.77,57.37,-65.65
21337,2122-TX-E04,2122,22,0,2,0,64.17,67.24,-73.8
1320,2223-TX-E01,2223,1,6,0,0,124.48,117.98,62.25
21153,2223-TX-E01,2223,2,6,2,0,130.02,125.39,32.05
19956,2223-TX-E01,2223,3,6,1,0,121.22,117.27,61.25
8762,2223-TX-E01,2223,4,4,1,0,117.6,124.74,84.85
4727,2223-TX-E01,2223,5,4,1,0,87.78,84.78,-1.4
5170,2223-TX-E01,2223,6,4,5,0,100.57,95.61,-18.12
11311,2223-TX-E01,2223,7,3,0,0,133.05,109.87,57.71
19899,2223-TX-E01,2223,8,3,1,0,120.58,109.61,45.01
14186,2223-TX-E01,2223,9,3,0,0,129.77,128.49,74.83
23195,2223-TX-E01,2223,10,3,1,0,101.98,94.26,39.4
5541,2223-TX-E01,2223,11,3,2,0,110.43,100.11,21.35
1220,2223-TX-E01,2223,12,3,2,0,69.22,62.45,4.13
15305,2223-TX-E01,2223,13,3,3,0,76.35,76.63,-14.15
13625,2223-TX-E01,2223,14,3,2,0,112.56,101.04,46.31
3076,2223-TX-E01,2223,15,3,3,0,91.54,85.88,12.63
18593,2223-TX-E01,2223,16,3,3,0,73.37,76.27,-12.08
10264,2223-TX-E01,2223,17,3,6,0,56.25,54.95,-26.55
7312,2223-TX-E01,2223,18,2,0,0,68.9,74.7,18.41
3200,2223-TX-E01,2223,19,2,1,0,99.48,87.89,22.23
21926,2223-TX-E01,2223,20,2,3,0,83.72,81.29,-20.32
18831,2223-TX-E01,2223,21,2,5,0,45.27,41.65,-56.66
11264,2223-TX-E01,2223,22,2,6,0,61.3,67.0,-18.19
8055,2223-TX-E01,2223,23,1,0,0,163.78,140.55,49.87
16684,2223-TX-E01,2223,24,1,2,0,93.34,71.59,23.41
19699,2223-TX-E01,2223,25,1,2,0,83.15,80.93,-10.34
12099,2223-TX-E01,2223,26,1,2,0,66.4,56.93,-14.04
18637,2223-TX-E01,2223,27,1,3,0,71.59,73.86,-22.5
12177,2223-TX-E01,2223,28,1,2,0,97.67,87.51,23.38
17424,2223-TX-E01,2223,29,1,7,0,48.91,48.41,-63.75
21891,2223-TX-E01,2223,30,0,3,0,74.24,74.56,-79.74
10311,2223-TX-E01,2223,31,0,7,0,30.71,18.43,-90.51
9249,2223-TX-E01,2223,32,0,4,0,35.0,32.36,-47.65
8624,2223-TX-E02,2223,1,6,1,0,60.83,63.6,29.19
10296,2223-TX-E02,2223,2,5,3,0,118.41,118.47,38.4
5865,2223-TX-E02,2223,3,5,1,0,107.05,98.51,30.79
20823,2223-TX-E02,2223,4,4,0,0,125.11,121.37,11.29
22439,2223-TX-E02,2223,5,4,2,0,116.26,110.21,41.21
19436,2223-TX-E02,2223,6,3,1,0,130.32,130.5,39.69
9214,2223-TX-E02,2223,7,3,3,0,82.46,82.6,24.48
19595,2223-TX-E02,2223,8,3,4,0,65.35,60.95,-38.75
14549,2223-TX-E02,2223,9,2,5,0,88.2,87.1,-1.56
2151,2223-TX-E02,2223,10,2,4,0,62.83,62.33,-14.54
11460,2223-TX-E02,2223,11,2,6,0,48.3,47.36,-46.44
20560,2223-TX-E02,2223,12,1,4,0,64.57,60.03,-21.92
3136,2223-TX-E02,2223,13,0,6,0,42.75,40.72,-73.97
16428,2223-TX-E03,2223,1,5,2,0,129.37,128.99,34.92
18478,2223-TX-E03,2223,2,5,2,0,98.53,100.81,-1.19
17254,2223-TX-E03,2223,3,5,1,0,118.8,118.71,62.01
24173,2223-TX-E03,2223,4,5,1,0,80.07,74.52,18.39
2764,2223-TX-E03,2223,5,4,2,0,155.28,146.08,20.59
13276,2223-TX-E03,2223,6,4,3,0,111.22,100.17,35.84
7922,2223-TX-E03,2223,7,4,2,0,132.6,126.1,41.61
19847,2223-TX-E03,2223,8,4,3,0,87.67,78.94,10.08
1982,2223-TX-E03,2223,9,4,2,0,76.36,69.82,-10.83
17994,2223-TX-E03,2223,10,4,2,0,78.97,81.95,15.08
