team_number,team_name,country,state_province,rookie_year
20412,Robot Dogs 20412,USA,TX,2005
20589,Robot Dogs 20589,USA,TX,2010
22212,Robot Dogs 22212,USA,TX,2007
23173,Robot Dogs 23173,USA,TX,2019
24173,Robot Dogs 24173,USA,TX,2018
24560,Robot Dogs 24560,USA,TX,2016
24853,Robot Dogs 24853,USA,TX,2007
2151,Robot Dogs 2151,USA,TX,2021
3136,Robot Dogs 3136,USA,TX,2017
5865,Robot Dogs 5865,USA,TX,2014
8624,Robot Dogs 8624,USA,TX,2014
9214,Robot Dogs 9214,USA,TX,2009
10296,Robot Dogs 10296,USA,TX,2011
11460,Robot Dogs 11460,USA,TX,2008
14549,Robot Dogs 14549,USA,TX,2019
19436,Robot Dogs 19436,USA,TX,2015
19595,Robot Dogs 19595,USA,TX,2023
20560,Robot Dogs 20560,USA,TX,2022
20823,Robot Dogs 20823,USA,TX,2013
22439,Robot Dogs 22439,USA,TX,2018
1220,Robot Dogs 1220,USA,TX,2012
1320,Robot Dogs 1320,USA,TX,2023
3076,Robot Dogs 3076,USA,TX,2018
3200,Robot Dogs 3200,USA,TX,2008
4727,Robot Dogs 4727,USA,TX,2011
5170,Robot Dogs 5170,USA,TX,2013
5541,Robot Dogs 5541,USA,TX,2011
7312,Robot Dogs 7312,USA,TX,2008
8055,Robot Dogs 8055,USA,TX,2010
8762,Robot Dogs 8762,USA,TX,2008
9249,Robot Dogs 9249,USA,TX,2020
10264,Robot Dogs 10264,USA,TX,2021
10311,Robot Dogs 10311,USA,TX,2006
11264,Robot Dogs 11264,USA,TX,2012
11311,Robot Dogs 11311,USA,TX,2007
12099,Robot Dogs 12099,USA,TX,2012
12177,Robot Dogs 12177,USA,TX,2021
13625,Robot Dogs 13625,USA,TX,2020
14186,Robot Dogs 14186,USA,TX,2007
15305,Robot Dogs 15305,USA,TX,2020
16684,Robot Dogs 16684,USA,TX,2023
17424,Robot Dogs 17424,USA,TX,2018
18593,Robot Dogs 18593,USA,TX,2011
18637,Robot Dogs 18637,USA,TX,2018
18831,Robot Dogs 18831,USA,TX,2010
19699,Robot Dogs 19699,USA,TX,2008
19899,Robot Dogs 19899,USA,TX,2006
19956,Robot Dogs 19956,USA,TX,2007
21153,Robot Dogs 21153,USA,TX,2015
21891,Robot Dogs 21891,USA,TX,2023
21926,Robot Dogs 21926,USA,TX,2007
23195,Robot Dogs 23195,USA,TX,2005
1656,Robot Dogs 1656,USA,TX,2006
3058,Robot Dogs 3058,USA,TX,2007
3726,Robot Dogs 3726,USA,TX,2006
4234,Robot Dogs 4234,USA,TX,2023
4892,Robot Dogs 4892,USA,TX,2010
5204,Robot Dogs 5204,USA,TX,2020
5550,Robot Dogs 5550,USA,TX,2015
5790,Robot Dogs 5790,USA,TX,2015
9111,Robot Dogs 9111,USA,TX,2010
9180,Robot Dogs 9180,USA,TX,2013
9984,Robot Dogs 9984,USA,TX,2021
11010,Robot Dogs 11010,USA,TX,2005
12453,Robot Dogs 12453,USA,TX,2023
13338,Robot Dogs 13338,USA,TX,2015
14564,Robot Dogs 14564,USA,TX,2016
15093,Robot Dogs 15093,USA,TX,2015
15176,Robot Dogs 15176,USA,TX,2011
15938,Robot Dogs 15938,USA,TX,2010
15967,Robot Dogs 15967,USA,TX,2017
17646,Robot Dogs 17646,USA,TX,2017
18877,Robot Dogs 18877,USA,TX,2022
19695,Robot Dogs 19695,USA,TX,2016
23347,Robot Dogs 23347,USA,TX,2012
24626,Robot Dogs 24626,USA,TX,2011
1189,Robot Dogs 1189,USA,TX,2013
2539,Robot Dogs 2539,USA,TX,2019
3170,Robot Dogs 3170,USA,TX,2021
6266,Robot Dogs 6266,USA,TX,2017
8380,Robot Dogs 8380,USA,TX,2015
10425,Robot Dogs 10425,USA,TX,2019
11016,Robot Dogs 11016,USA,TX,2011
11579,Robot Dogs 11579,USA,TX,2015
13159,Robot Dogs 13159,USA,TX,2005
18255,Robot Dogs 18255,USA,TX,2017
19074,Robot Dogs 19074,USA,TX,2019
20245,Robot Dogs 20245,USA,TX,2009
21946,Robot Dogs 21946,USA,TX,2021
22125,Robot Dogs 22125,USA,TX,2008
23567,Robot Dogs 23567,USA,TX,2006
1634,Robot Dogs 1634,USA,TX,2007
5233,Robot Dogs 5233,USA,TX,2012
5252,Robot Dogs 5252,USA,TX,2015
5745,Robot Dogs 5745,USA,TX,2008
6316,Robot Dogs 6316,USA,TX,2005
6382,Robot Dogs 6382,USA,TX,2014
6590,Robot Dogs 6590,USA,TX,2012
6847,Robot Dogs 6847,USA,TX,2020
6975,Robot Dogs 6975,USA,TX,2009
7359,Robot Dogs 7359,USA,TX,2013
8925,Robot Dogs 8925,USA,TX,2008
9843,Robot Dogs 9843,USA,TX,2015
11144,Robot Dogs 11144,USA,TX,2020
11889,Robot Dogs 11889,USA,TX,2018
12961,Robot Dogs 12961,USA,TX,2019
14804,Robot Dogs 14804,USA,TX,2018
15317,Robot Dogs 15317,USA,TX,2016
15579,Robot Dogs 15579,USA,TX,2009
16202,Robot Dogs 16202,USA,TX,2023
17073,Robot Dogs 17073,USA,TX,2005
17330,Robot Dogs 17330,USA,TX,2012
18968,Robot Dogs 18968,USA,TX,2010
20292,Robot Dogs 20292,USA,TX,2019
21788,Robot Dogs 21788,USA,TX,2021
21877,Robot Dogs 21877,USA,TX,2017
24605,Robot Dogs 24605,USA,TX,2020
4541,Robot Dogs 4541,USA,TX,2009
5692,Robot Dogs 5692,USA,TX,2012
6129,Robot Dogs 6129,USA,TX,2007
6930,Robot Dogs 6930,USA,TX,2005
7238,Robot Dogs 7238,USA,TX,2019
8381,Robot Dogs 8381,USA,TX,2023
8479,Robot Dogs 8479,USA,TX,2017
8883,Robot Dogs 8883,USA,TX,2023
9266,Robot Dogs 9266,USA,TX,2012
9859,Robot Dogs 9859,USA,TX,2015
14122,Robot Dogs 14122,USA,TX,2022
15101,Robot Dogs 15101,USA,TX,2015
16759,Robot Dogs 16759,USA,TX,2014
17265,Robot Dogs 17265,USA,TX,2019
17470,Robot Dogs 17470,USA,TX,2010
18439,Robot Dogs 18439,USA,TX,2022
18816,Robot Dogs 18816,USA,TX,2023
20493,Robot Dogs 20493,USA,TX,2021
20886,Robot Dogs 20886,USA,TX,2022
21741,Robot Dogs 21741,USA,TX,2013
22083,Robot Dogs 22083,USA,TX,2006
22406,Robot Dogs 22406,USA,TX,2010
22443,Robot Dogs 22443,USA,TX,2017
