team_number,season,event_key,match_number,elo_before,elo_after,elo_change
22030,1819,1819-TX-E01,4,1500.0,1483.3,-16.71
1949,1819,1819-TX-E01,4,1455.5,1438.8,-16.71
8171,1819,1819-TX-E01,5,1485.4,1471.8,-13.68
18170,1819,1819-TX-E01,5,1472.6,1458.9,-13.68
19905,1819,1819-TX-E01,5,1500.0,1513.7,13.68
2113,1819,1819-TX-E01,5,1559.7,1573.3,13.68
5289,1819,1819-TX-E01,6,1498.3,1480.6,-17.78
16062,1819,1819-TX-E01,6,1591.3,1573.5,-17.78
2113,1819,1819-TX-E01,6,1573.3,1591.1,17.78
1949,1819,1819-TX-E01,6,1438.8,1456.6,17.78
5626,1819,1819-TX-E01,7,1470.9,1454.8,-16.13
8171,1819,1819-TX-E01,7,1471.8,1455.6,-16.13
1949,1819,1819-TX-E01,7,1456.6,1472.7,16.13
5289,1819,1819-TX-E01,7,1480.6,1496.7,16.13
19905,1819,1819-TX-E01,8,1513.7,1529.4,15.71
5626,1819,1819-TX-E01,8,1454.8,1470.5,15.71
22030,1819,1819-TX-E01,8,1483.3,1467.6,-15.71
1949,1819,1819-TX-E01,8,1472.7,1457.0,-15.71
8171,1819,1819-TX-E01,9,1455.6,1439.0,-16.65
19905,1819,1819-TX-E01,9,1529.4,1512.7,-16.65
22746,1819,1819-TX-E01,9,1499.6,1516.3,16.65
1949,1819,1819-TX-E01,9,1457.0,1473.7,16.65
18170,1819,1819-TX-E01,10,1458.9,1475.0,16.14
1949,1819,1819-TX-E01,10,1473.7,1489.8,16.14
5682,1819,1819-TX-E01,10,1470.9,1454.8,-16.14
22030,1819,1819-TX-E01,10,1467.6,1451.4,-16.14
22030,1819,1819-TX-E01,11,1451.4,1438.0,-13.46
19905,1819,1819-TX-E01,11,1512.7,1499.3,-13.46
2113,1819,1819-TX-E01,11,1591.1,1604.6,13.46
21729,1819,1819-TX-E01,11,1484.3,1497.8,13.46
19905,1819,1819-TX-E01,12,1499.3,1483.6,-15.64
21729,1819,1819-TX-E01,12,1497.8,1482.2,-15.64
8171,1819,1819-TX-E01,12,1439.0,1454.6,15.64
16062,1819,1819-TX-E01,12,1573.5,1589.2,15.64
5626,1819,1819-TX-E01,13,1470.5,1485.3,14.79
18170,1819,1819-TX-E01,13,1475.0,1489.8,14.79
22030,1819,1819-TX-E01,13,1438.0,1423.2,-14.79
5682,1819,1819-TX-E01,13,1454.8,1440.0,-14.79
5289,1819,1819-TX-E01,14,1496.7,1479.2,-17.53
2113,1819,1819-TX-E01,14,1604.6,1587.0,-17.53
18170,1819,1819-TX-E01,14,1489.8,1507.3,17.53
21517,1819,1819-TX-E01,14,1544.9,1562.4,17.53
21517,1819,1819-TX-E01,15,1562.4,1573.6,11.19
22746,1819,1819-TX-E01,15,1516.3,1527.4,11.19
22030,1819,1819-TX-E01,15,1423.2,1412.0,-11.19
5682,1819,1819-TX-E01,15,1440.0,1428.8,-11.19
22030,1819,1819-TX-E01,16,1412.0,1400.9,-11.12
19905,1819,1819-TX-E01,16,1483.6,1472.5,-11.12
22746,1819,1819-TX-E01,16,1527.4,1538.6,11.12
2113,1819,1819-TX-E01,16,1587.0,1598.2,11.12
23420,1819,1819-TX-E02,1,1500.0,1516.0,16.0
9894,1819,1819-TX-E02,1,1500.0,1516.0,16.0
15039,1819,1819-TX-E02,1,1500.0,1484.0,-16.0
2797,1819,1819-TX-E02,1,1500.0,1484.0,-16.0
3632,1819,1819-TX-E02,1,1500.0,1516.0,16.0
18702,1819,1819-TX-E02,1,1500.0,1516.0,16.0
22602,1819,1819-TX-E02,1,1500.0,1484.0,-16.0
12598,1819,1819-TX-E02,1,1500.0,1484.0,-16.0
23420,1819,1819-TX-E02,1,1516.0,1499.6,-16.37
18050,1819,1819-TX-E02,1,1500.0,1483.6,-16.37
1392,1819,1819-TX-E02,1,1500.0,1516.4,16.37
13871,1819,1819-TX-E02,1,1500.0,1516.4,16.37
3632,1819,1819-TX-E02,1,1516.0,1530.9,14.88
18702,1819,1819-TX-E02,1,1516.0,1530.9,14.88
23420,1819,1819-TX-E02,1,1499.6,1484.8,-14.88
18050,1819,1819-TX-E02,1,1483.6,1468.8,-14.88
8583,1819,1819-TX-E02,2,1500.0,1484.0,-16.0
18702,1819,1819-TX-E02,2,1530.9,1514.9,-16.0
17229,1819,1819-TX-E02,2,1500.0,1516.0,16.0
3632,1819,1819-TX-E02,2,1530.9,1546.9,16.0
3632,1819,1819-TX-E02,2,1546.9,1528.7,-18.15
18702,1819,1819-TX-E02,2,1514.9,1496.7,-18.15
22602,1819,1819-TX-E02,2,1484.0,1502.1,18.15
12598,1819,1819-TX-E02,2,1484.0,1502.1,18.15
23420,1819,1819-TX-E02,2,1484.8,1470.6,-14.18
18050,1819,1819-TX-E02,2,1468.8,1454.6,-14.18
1392,1819,1819-TX-E02,2,1516.4,1530.6,14.18
13871,1819,1819-TX-E02,2,1516.4,1530.6,14.18
3632,1819,1819-TX-E02,2,1528.7,1542.4,13.71
18702,1819,1819-TX-E02,2,1496.7,1510.4,13.71
23420,1819,1819-TX-E02,2,1470.6,1456.9,-13.71
18050,1819,1819-TX-E02,2,1454.6,1440.9,-13.71
21411,1819,1819-TX-E02,3,1500.0,1482.9,-17.12
1894,1819,1819-TX-E02,3,1500.0,1482.9,-17.12
18702,1819,1819-TX-E02,3,1510.4,1527.6,17.12
18050,1819,1819-TX-E02,3,1440.9,1458.0,17.12
3632,1819,1819-TX-E02,3,1542.4,1524.9,-17.51
18702,1819,1819-TX-E02,3,1527.6,1510.1,-17.51
22602,1819,1819-TX-E02,3,1502.1,1519.7,17.51
12598,1819,1819-TX-E02,3,1502.1,1519.7,17.51
23420,1819,1819-TX-E02,3,1456.9,1476.2,19.32
18050,1819,1819-TX-E02,3,1458.0,1477.3,19.32
1392,1819,1819-TX-E02,3,1530.6,1511.2,-19.32
13871,1819,1819-TX-E02,3,1530.6,1511.2,-19.32
3632,1819,1819-TX-E02,3,1524.9,1507.1,-17.87
18702,1819,1819-TX-E02,3,1510.1,1492.2,-17.87
23420,1819,1819-TX-E02,3,1476.2,1494.0,17.87
18050,1819,1819-TX-E02,3,1477.3,1495.2,17.87
22602,1819,1819-TX-E02,4,1519.7,1534.8,15.15
13871,1819,1819-TX-E02,4,1511.2,1526.4,15.15
21605,1819,1819-TX-E02,4,1500.0,1484.8,-15.15
23420,1819,1819-TX-E02,4,1494.0,1478.9,-15.15
12598,1819,1819-TX-E02,5,1519.7,1535.4,15.75
3632,1819,1819-TX-E02,5,1507.1,1522.8,15.75
17229,1819,1819-TX-E02,5,1516.0,1500.2,-15.75
3272,1819,1819-TX-E02,5,1500.0,1484.2,-15.75
19001,1819,1819-TX-E02,6,1500.0,1484.7,-15.3
2797,1819,1819-TX-E02,6,1484.0,1468.7,-15.3
12598,1819,1819-TX-E02,6,1535.4,1550.7,15.3
23420,1819,1819-TX-E02,6,1478.9,1494.2,15.3
6995,1819,1819-TX-E02,7,1500.0,1483.5,-16.5
7890,1819,1819-TX-E02,7,1500.0,1483.5,-16.5
15039,1819,1819-TX-E02,7,1484.0,1500.5,16.5
23420,1819,1819-TX-E02,7,1494.2,1510.7,16.5
8583,1819,1819-TX-E02,8,1484.0,1467.2,-16.82
12598,1819,1819-TX-E02,8,1550.7,1533.9,-16.82
1894,1819,1819-TX-E02,8,1482.9,1499.7,16.82
9894,1819,1819-TX-E02,8,1516.0,1532.8,16.82
3272,1819,1819-TX-E02,9,1484.2,1469.3,-14.99
18050,1819,1819-TX-E02,9,1495.2,1480.2,-14.99
15039,1819,1819-TX-E02,9,1500.5,1515.5,14.99
3632,1819,1819-TX-E02,9,1522.8,1537.8,14.99
7317,1819,1819-TX-E02,10,1500.0,1516.2,16.19
18702,1819,1819-TX-E02,10,1492.2,1508.4,16.19
15039,1819,1819-TX-E02,10,1515.5,1499.3,-16.19
21605,1819,1819-TX-E02,10,1484.8,1468.7,-16.19
8583,1819,1819-TX-E02,11,1467.2,1483.6,16.41
1392,1819,1819-TX-E02,11,1511.2,1527.6,16.41
7317,1819,1819-TX-E02,11,1516.2,1499.8,-16.41
18050,1819,1819-TX-E02,11,1480.2,1463.8,-16.41
22602,1819,1819-TX-E02,12,1534.8,1549.4,14.56
1392,1819,1819-TX-E02,12,1527.6,1542.2,14.56
1894,1819,1819-TX-E02,12,1499.7,1485.1,-14.56
17229,1819,1819-TX-E02,12,1500.2,1485.7,-14.56
18702,1819,1819-TX-E02,13,1508.4,1495.0,-13.4
3272,1819,1819-TX-E02,13,1469.3,1455.9,-13.4
1392,1819,1819-TX-E02,13,1542.2,1555.6,13.4
22602,1819,1819-TX-E02,13,1549.4,1562.8,13.4
19001,1819,1819-TX-E02,14,1484.7,1501.2,16.47
12598,1819,1819-TX-E02,14,1533.9,1550.4,16.47
1392,1819,1819-TX-E02,14,1555.6,1539.1,-16.47
7890,1819,1819-TX-E02,14,1483.5,1467.0,-16.47
18050,1819,1819-TX-E02,15,1463.8,1480.4,16.66
13871,1819,1819-TX-E02,15,1526.4,1543.0,16.66
3272,1819,1819-TX-E02,15,1455.9,1439.2,-16.66
22602,1819,1819-TX-E02,15,1562.8,1546.1,-16.66
3632,1819,1819-TX-E02,16,1537.8,1554.0,16.2
15039,1819,1819-TX-E02,16,1499.3,1515.5,16.2
22602,1819,1819-TX-E02,16,1546.1,1529.9,-16.2
7317,1819,1819-TX-E02,16,1499.8,1483.6,-16.2
21605,1819,1819-TX-E02,17,1468.7,1453.7,-15.0
7317,1819,1819-TX-E02,17,1483.6,1468.6,-15.0
23420,1819,1819-TX-E02,17,1510.7,1525.7,15.0
1894,1819,1819-TX-E02,17,1485.1,1500.1,15.0
21411,1819,1819-TX-E02,18,1482.9,1498.5,15.67
9894,1819,1819-TX-E02,18,1532.8,1548.5,15.67
15039,1819,1819-TX-E02,18,1515.5,1499.8,-15.67
17229,1819,1819-TX-E02,18,1485.7,1470.0,-15.67
3632,1819,1819-TX-E02,19,1554.0,1540.0,-14.04
21605,1819,1819-TX-E02,19,1453.7,1439.6,-14.04
13871,1819,1819-TX-E02,19,1543.0,1557.1,14.04
12598,1819,1819-TX-E02,19,1550.4,1564.4,14.04
17229,1819,1819-TX-E02,20,1470.0,1485.3,15.29
3632,1819,1819-TX-E02,20,1540.0,1555.3,15.29
18050,1819,1819-TX-E02,20,1480.4,1465.1,-15.29
21411,1819,1819-TX-E02,20,1498.5,1483.3,-15.29
1894,1819,1819-TX-E02,21,1500.1,1484.8,-15.37
7317,1819,1819-TX-E02,21,1468.6,1453.2,-15.37
3272,1819,1819-TX-E02,21,1439.2,1454.6,15.37
13871,1819,1819-TX-E02,21,1557.1,1572.4,15.37
9894,1819,1819-TX-E02,22,1548.5,1533.5,-15.04
21411,1819,1819-TX-E02,22,1483.3,1468.2,-15.04
19001,1819,1819-TX-E02,22,1501.2,1516.2,15.04
13871,1819,1819-TX-E02,22,1572.4,1587.5,15.04
19001,1819,1819-TX-E02,23,1516.2,1498.7,-17.51
17229,1819,1819-TX-E02,23,1485.3,1467.8,-17.51
2797,1819,1819-TX-E02,23,1468.7,1486.2,17.51
7890,1819,1819-TX-E02,23,1467.0,1484.5,17.51
8583,1819,1819-TX-E02,24,1483.6,1468.6,-15.0
3632,1819,1819-TX-E02,24,1555.3,1540.3,-15.0
18702,1819,1819-TX-E02,24,1495.0,1510.0,15.0
13871,1819,1819-TX-E02,24,1587.5,1602.5,15.0
21605,1819,1819-TX-E02,25,1439.6,1453.6,13.94
13871,1819,1819-TX-E02,25,1602.5,1616.4,13.94
17229,1819,1819-TX-E02,25,1467.8,1453.8,-13.94
7890,1819,1819-TX-E02,25,1484.5,1470.6,-13.94
1894,1819,1819-TX-E02,26,1484.8,1470.6,-14.16
15039,1819,1819-TX-E02,26,1499.8,1485.7,-14.16
23420,1819,1819-TX-E02,26,1525.7,1539.9,14.16
1392,1819,1819-TX-E02,26,1539.1,1553.3,14.16
16524,1819,1819-TX-E03,1,1500.0,1516.0,16.0
17285,1819,1819-TX-E03,1,1500.0,1516.0,16.0
3008,1819,1819-TX-E03,1,1500.0,1484.0,-16.0
17276,1819,1819-TX-E03,1,1500.0,1484.0,-16.0
15476,1819,1819-TX-E03,1,1500.0,1516.0,16.0
19016,1819,1819-TX-E03,1,1500.0,1516.0,16.0
6011,1819,1819-TX-E03,1,1500.0,1484.0,-16.0
11030,1819,1819-TX-E03,1,1500.0,1484.0,-16.0
24086,1819,1819-TX-E03,1,1500.0,1483.6,-16.37
9524,1819,1819-TX-E03,1,1500.0,1483.6,-16.37
3008,1819,1819-TX-E03,1,1484.0,1500.4,16.37
15210,1819,1819-TX-E03,1,1500.0,1516.4,16.37
15476,1819,1819-TX-E03,1,1516.0,1498.5,-17.49
19016,1819,1819-TX-E03,1,1516.0,1498.5,-17.49
24086,1819,1819-TX-E03,1,1483.6,1501.1,17.49
9524,1819,1819-TX-E03,1,1483.6,1501.1,17.49
1485,1819,1819-TX-E03,2,1500.0,1484.0,-16.0
9005,1819,1819-TX-E03,2,1500.0,1484.0,-16.0
10315,1819,1819-TX-E03,2,1500.0,1516.0,16.0
20065,1819,1819-TX-E03,2,1500.0,1516.0,16.0
15476,1819,1819-TX-E03,2,1498.5,1481.8,-16.67
19016,1819,1819-TX-E03,2,1498.5,1481.8,-16.67
6011,1819,1819-TX-E03,2,1484.0,1500.7,16.67
11030,1819,1819-TX-E03,2,1484.0,1500.7,16.67
24086,1819,1819-TX-E03,2,1501.1,1517.5,16.33
9524,1819,1819-TX-E03,2,1501.1,1517.5,16.33
3008,1819,1819-TX-E03,2,1500.4,1484.0,-16.33
15210,1819,1819-TX-E03,2,1516.4,1500.0,-16.33
15476,1819,1819-TX-E03,2,1481.8,1499.5,17.63
19016,1819,1819-TX-E03,2,1481.8,1499.5,17.63
24086,1819,1819-TX-E03,2,1517.5,1499.8,-17.63
9524,1819,1819-TX-E03,2,1517.5,1499.8,-17.63
15210,1819,1819-TX-E03,3,1500.0,1516.4,16.37
16524,1819,1819-TX-E03,3,1516.0,1532.4,16.37
10315,1819,1819-TX-E03,3,1516.0,1499.6,-16.37
20065,1819,1819-TX-E03,3,1516.0,1499.6,-16.37
15476,1819,1819-TX-E03,3,1499.5,1483.5,-15.98
19016,1819,1819-TX-E03,3,1499.5,1483.5,-15.98
24086,1819,1819-TX-E03,3,1499.8,1515.8,15.98
9524,1819,1819-TX-E03,3,1499.8,1515.8,15.98
20065,1819,1819-TX-E03,4,1499.6,1515.6,16.01
15476,1819,1819-TX-E03,4,1483.5,1499.5,16.01
3985,1819,1819-TX-E03,4,1500.0,1484.0,-16.01
19016,1819,1819-TX-E03,4,1483.5,1467.5,-16.01
10810,1819,1819-TX-E03,5,1500.0,1484.7,-15.25
1485,1819,1819-TX-E03,5,1484.0,1468.7,-15.25
11030,1819,1819-TX-E03,5,1500.7,1515.9,15.25
9524,1819,1819-TX-E03,5,1515.8,1531.1,15.25
11030,1819,1819-TX-E03,6,1515.9,1531.6,15.63
19170,1819,1819-TX-E03,6,1500.0,1515.6,15.63
21765,1819,1819-TX-E03,6,1500.0,1484.4,-15.63
11463,1819,1819-TX-E03,6,1500.0,1484.4,-15.63
12024,1819,1819-TX-E03,7,1500.0,1516.0,16.03
10315,1819,1819-TX-E03,7,1499.6,1515.7,16.03
1485,1819,1819-TX-E03,7,1468.7,1452.7,-16.03
16524,1819,1819-TX-E03,7,1532.4,1516.3,-16.03
15210,1819,1819-TX-E03,8,1516.4,1500.4,-16.02
17276,1819,1819-TX-E03,8,1484.0,1468.0,-16.02
19170,1819,1819-TX-E03,8,1515.6,1531.7,16.02
9005,1819,1819-TX-E03,8,1484.0,1500.0,16.02
17276,1819,1819-TX-E03,9,1468.0,1452.7,-15.26
3985,1819,1819-TX-E03,9,1484.0,1468.7,-15.26
5722,1819,1819-TX-E03,9,1500.0,1515.3,15.26
3008,1819,1819-TX-E03,9,1484.0,1499.3,15.26
15210,1819,1819-TX-E03,10,1500.4,1484.7,-15.66
12931,1819,1819-TX-E03,10,1500.0,1484.3,-15.66
24086,1819,1819-TX-E03,10,1515.8,1531.5,15.66
15476,1819,1819-TX-E03,10,1499.5,1515.2,15.66
19016,1819,1819-TX-E03,11,1467.5,1483.5,16.05
15476,1819,1819-TX-E03,11,1515.2,1531.2,16.05
6011,1819,1819-TX-E03,11,1500.7,1484.6,-16.05
21765,1819,1819-TX-E03,11,1484.4,1468.3,-16.05
18740,1819,1819-TX-E03,12,1500.0,1515.6,15.62
11030,1819,1819-TX-E03,12,1531.6,1547.2,15.62
19170,1819,1819-TX-E03,12,1531.7,1516.0,-15.62
19016,1819,1819-TX-E03,12,1483.5,1467.9,-15.62
18740,1819,1819-TX-E03,13,1515.6,1498.5,-17.08
9005,1819,1819-TX-E03,13,1500.0,1482.9,-17.08
17285,1819,1819-TX-E03,13,1516.0,1533.1,17.08
1485,1819,1819-TX-E03,13,1452.7,1469.8,17.08
16524,1819,1819-TX-E03,14,1516.3,1499.2,-17.13
14974,1819,1819-TX-E03,14,1500.0,1482.9,-17.13
3008,1819,1819-TX-E03,14,1499.3,1516.4,17.13
19016,1819,1819-TX-E03,14,1467.9,1485.0,17.13
21765,1819,1819-TX-E03,15,1468.3,1483.6,15.27
9524,1819,1819-TX-E03,15,1531.1,1546.3,15.27
15210,1819,1819-TX-E03,15,1484.7,1469.5,-15.27
14974,1819,1819-TX-E03,15,1482.9,1467.6,-15.27
9524,1819,1819-TX-E03,16,1546.3,1529.3,-17.06
3985,1819,1819-TX-E03,16,1468.7,1451.7,-17.06
10810,1819,1819-TX-E03,16,1484.7,1501.8,17.06
11463,1819,1819-TX-E03,16,1484.4,1501.4,17.06
12931,1819,1819-TX-E03,17,1484.3,1501.1,16.75
12024,1819,1819-TX-E03,17,1516.0,1532.8,16.75
19735,1819,1819-TX-E03,17,1500.0,1483.2,-16.75
17285,1819,1819-TX-E03,17,1533.1,1516.3,-16.75
5722,1819,1819-TX-E03,18,1515.3,1498.2,-17.04
12931,1819,1819-TX-E03,18,1501.1,1484.1,-17.04
15210,1819,1819-TX-E03,18,1469.5,1486.5,17.04
10810,1819,1819-TX-E03,18,1501.8,1518.8,17.04
24086,1819,1819-TX-E03,19,1531.5,1547.5,16.01
10147,1819,1819-TX-E03,19,1500.0,1516.0,16.01
3008,1819,1819-TX-E03,19,1516.4,1500.4,-16.01
10315,1819,1819-TX-E03,19,1515.7,1499.7,-16.01
9524,1819,1819-TX-E03,20,1529.3,1511.9,-17.4
16524,1819,1819-TX-E03,20,1499.2,1481.8,-17.4
19170,1819,1819-TX-E03,20,1516.0,1533.4,17.4
3985,1819,1819-TX-E03,20,1451.7,1469.1,17.4
15210,1819,1819-TX-E03,21,1486.5,1500.6,14.11
11030,1819,1819-TX-E03,21,1547.2,1561.3,14.11
18740,1819,1819-TX-E03,21,1498.5,1484.4,-14.11
17276,1819,1819-TX-E03,21,1452.7,1438.6,-14.11
6011,1819,1819-TX-E03,22,1484.6,1500.3,15.67
19735,1819,1819-TX-E03,22,1483.2,1498.9,15.67
18740,1819,1819-TX-E03,22,1484.4,1468.8,-15.67
3985,1819,1819-TX-E03,22,1469.1,1453.4,-15.67
3008,1819,1819-TX-E03,23,1500.4,1516.0,15.61
3985,1819,1819-TX-E03,23,1453.4,1469.0,15.61
5722,1819,1819-TX-E03,23,1498.2,1482.6,-15.61
17276,1819,1819-TX-E03,23,1438.6,1423.0,-15.61
6011,1819,1819-TX-E03,24,1500.3,1514.5,14.24
20065,1819,1819-TX-E03,24,1515.6,1529.9,14.24
10147,1819,1819-TX-E03,24,1516.0,1501.8,-14.24
17276,1819,1819-TX-E03,24,1423.0,1408.8,-14.24
10147,1819,1819-TX-E03,25,1501.8,1486.0,-15.77
3985,1819,1819-TX-E03,25,1469.0,1453.2,-15.77
18740,1819,1819-TX-E03,25,1468.8,1484.5,15.77
9524,1819,1819-TX-E03,25,1511.9,1527.6,15.77
3985,1819,1819-TX-E03,26,1453.2,1438.3,-14.94
1485,1819,1819-TX-E03,26,1469.8,1454.8,-14.94
9005,1819,1819-TX-E03,26,1482.9,1497.9,14.94
10147,1819,1819-TX-E03,26,1486.0,1500.9,14.94
11475,1819,1819-TX-E03,27,1500.0,1485.1,-14.94
16524,1819,1819-TX-E03,27,1481.8,1466.9,-14.94
9005,1819,1819-TX-E03,27,1497.9,1512.8,14.94
20065,1819,1819-TX-E03,27,1529.9,1544.8,14.94
16524,1819,1819-TX-E03,28,1466.9,1481.1,14.25
15476,1819,1819-TX-E03,28,1531.2,1545.5,14.25
3985,1819,1819-TX-E03,28,1438.3,1424.0,-14.25
21765,1819,1819-TX-E03,28,1483.6,1469.3,-14.25
6011,1819,1819-TX-E03,29,1514.5,1529.4,14.91
15476,1819,1819-TX-E03,29,1545.5,1560.4,14.91
9524,1819,1819-TX-E03,29,1527.6,1512.7,-14.91
19016,1819,1819-TX-E03,29,1485.0,1470.1,-14.91
17285,1819,1819-TX-E03,30,1516.3,1531.9,15.53
10147,1819,1819-TX-E03,30,1500.9,1516.5,15.53
14974,1819,1819-TX-E03,30,1467.6,1452.1,-15.53
6011,1819,1819-TX-E03,30,1529.4,1513.9,-15.53
17276,1819,1819-TX-E03,31,1408.8,1395.2,-13.59
10810,1819,1819-TX-E03,31,1518.8,1505.3,-13.59
17285,1819,1819-TX-E03,31,1531.9,1545.4,13.59
11463,1819,1819-TX-E03,31,1501.4,1515.0,13.59
15210,1819,1819-TX-E03,32,1500.6,1512.8,12.2
17285,1819,1819-TX-E03,32,1545.4,1557.6,12.2
17276,1819,1819-TX-E03,32,1395.2,1383.0,-12.2
5722,1819,1819-TX-E03,32,1482.6,1470.4,-12.2
18740,1819,1819-TX-E03,33,1484.5,1501.5,16.99
19016,1819,1819-TX-E03,33,1470.1,1487.1,16.99
9524,1819,1819-TX-E03,33,1512.7,1495.7,-16.99
11475,1819,1819-TX-E03,33,1485.1,1468.1,-16.99
12931,1819,1819-TX-E03,34,1484.1,1469.2,-14.9
9524,1819,1819-TX-E03,34,1495.7,1480.8,-14.9
9005,1819,1819-TX-E03,34,1512.8,1527.7,14.9
11463,1819,1819-TX-E03,34,1515.0,1529.9,14.9
17285,1819,1819-TX-E03,35,1557.6,1540.4,-17.3
11475,1819,1819-TX-E03,35,1468.1,1450.8,-17.3
19735,1819,1819-TX-E03,35,1498.9,1516.2,17.3
5722,1819,1819-TX-E03,35,1470.4,1487.7,17.3
8696,1819,1819-TX-E04,1,1500.0,1516.0,16.0
8028,1819,1819-TX-E04,1,1500.0,1516.0,16.0
21396,1819,1819-TX-E04,1,1500.0,1484.0,-16.0
5613,1819,1819-TX-E04,1,1500.0,1484.0,-16.0
10135,1819,1819-TX-E04,1,1500.0,1483.6,-16.37
8696,1819,1819-TX-E04,1,1516.0,1499.6,-16.37
2770,1819,1819-TX-E04,1,1500.0,1516.4,16.37
6066,1819,1819-TX-E04,1,1500.0,1516.4,16.37
5613,1819,1819-TX-E04,1,1484.0,1468.4,-15.63
15172,1819,1819-TX-E04,1,1500.0,1484.4,-15.63
8028,1819,1819-TX-E04,1,1516.0,1531.6,15.63
21396,1819,1819-TX-E04,1,1484.0,1499.6,15.63
10135,1819,1819-TX-E04,1,1483.6,1466.9,-16.7
8696,1819,1819-TX-E04,1,1499.6,1482.9,-16.7
5613,1819,1819-TX-E04,1,1468.4,1485.1,16.7
15172,1819,1819-TX-E04,1,1484.4,1501.1,16.7
6066,1819,1819-TX-E04,2,1516.4,1532.3,15.97
5613,1819,1819-TX-E04,2,1485.1,1501.0,15.97
16928,1819,1819-TX-E04,2,1500.0,1484.0,-15.97
2739,1819,1819-TX-E04,2,1500.0,1484.0,-15.97
10135,1819,1819-TX-E04,2,1466.9,1485.2,18.26
8696,1819,1819-TX-E04,2,1482.9,1501.2,18.26
2770,1819,1819-TX-E04,2,1516.4,1498.1,-18.26
6066,1819,1819-TX-E04,2,1532.3,1514.1,-18.26
5613,1819,1819-TX-E04,2,1501.0,1485.7,-15.33
15172,1819,1819-TX-E04,2,1501.1,1485.7,-15.33
8028,1819,1819-TX-E04,2,1531.6,1547.0,15.33
21396,1819,1819-TX-E04,2,1499.6,1515.0,15.33
10135,1819,1819-TX-E04,2,1485.2,1468.8,-16.34
8696,1819,1819-TX-E04,2,1501.2,1484.8,-16.34
5613,1819,1819-TX-E04,2,1485.7,1502.1,16.34
15172,1819,1819-TX-E04,2,1485.7,1502.1,16.34
8696,1819,1819-TX-E04,3,1484.8,1501.6,16.74
2770,1819,1819-TX-E04,3,1498.1,1514.8,16.74
21170,1819,1819-TX-E04,3,1500.0,1483.3,-16.74
21396,1819,1819-TX-E04,3,1515.0,1498.2,-16.74
10135,1819,1819-TX-E04,3,1468.8,1454.2,-14.66
8696,1819,1819-TX-E04,3,1501.6,1486.9,-14.66
2770,1819,1819-TX-E04,3,1514.8,1529.5,14.66
6066,1819,1819-TX-E04,3,1514.1,1528.7,14.66
5613,1819,1819-TX-E04,3,1502.1,1487.0,-15.06
15172,1819,1819-TX-E04,3,1502.1,1487.0,-15.06
