team_number,current_elo
7495,1516.8
7586,1617.7
7590,1472.4
7611,1468.6
7613,1533.4
7673,1483.6
7690,1429.9
7841,1499.2
7869,1547.2
7890,1470.6
7922,1557.2
7924,1436.8
7986,1516.7
8004,1481.3
8028,1592.1
8055,1476.4
8078,1469.2
8088,1491.7
8143,1453.6
8171,1454.6
8198,1455.2
8275,1483.0
8319,1487.6
8364,1547.4
8380,1483.5
8381,1470.1
8451,1512.4
8473,1428.9
8479,1466.2
8543,1472.5
8562,1529.8
8583,1468.6
8600,1528.4
8624,1558.2
8643,1486.4
8644,1555.5
8648,1458.3
8696,1474.5
8762,1511.1
8801,1437.2
8849,1496.6
8883,1498.0
8885,1461.0
8899,1473.5
8925,1482.2
8957,1428.2
9005,1527.7
9099,1564.9
9111,1502.8
9112,1625.3
9138,1539.5
9141,1523.6
9152,1486.2
9163,1477.8
9180,1525.3
9189,1487.9
9214,1451.3
9249,1439.6
9266,1586.6
9338,1452.8
9351,1542.8
9375,1513.4
9428,1592.1
9430,1465.8
9504,1531.1
9524,1480.8
9536,1564.6
9582,1569.0
9686,1485.0
9691,1467.4
9755,1490.5
9756,1559.6
9788,1460.0
9843,1452.2
9859,1502.0
9874,1500.6
9894,1533.5
9907,1449.9
9967,1516.7
9978,1592.3
9983,1513.9
9984,1500.7
9985,1513.0
10056,1511.6
10068,1471.9
10101,1541.4
10135,1501.4
10147,1516.5
10264,1461.2
10282,1511.6
10296,1543.8
10302,1593.5
10311,1394.3
10315,1499.7
10396,1578.3
10425,1425.5
10465,1438.5
10466,1530.9
10468,1467.0
10469,1543.0
10542,1452.8
10567,1484.1
10697,1469.0
10709,1497.0
10747,1467.0
10800,1515.5
10810,1505.3
11010,1541.1
11016,1537.1
11022,1560.1
11030,1561.3
11119,1498.9
11143,1515.9
11144,1413.9
11145,1449.4
11146,1709.2
11147,1498.2
11148,1623.2
11177,1546.9
11227,1478.3
11235,1472.6
11258,1488.1
11264,1437.5
11283,1405.4
11296,1544.3
11311,1583.0
11322,1535.7
11323,1355.1
11324,1531.7
11325,1610.8
11326,1479.5
11339,1623.8
11364,1534.3
11383,1500.2
11408,1459.5
11460,1446.3
11463,1529.9
11470,1502.7
11475,1450.8
11505,1451.7
11506,1409.2
11511,1609.7
11562,1515.3
11572,1500.0
11579,1514.0
11586,1442.2
11591,1478.0
11675,1610.5
11682,1523.5
11750,1436.4
11806,1530.6
11878,1555.6
11889,1501.8
11910,1487.0
12024,1532.8
12045,1551.9
12091,1488.0
12099,1481.4
12177,1488.9
12212,1548.7
12291,1553.5
12420,1578.9
12453,1459.5
12554,1650.3
12576,1471.6
12579,1416.2
12598,1564.4
12601,1449.6
12644,1575.1
12646,1513.5
12687,1545.2
12689,1487.1
12694,1546.8
12704,1573.5
12821,1469.5
12864,1484.3
12905,1517.6
12931,1469.2
12961,1545.7
12993,1811.5
13036,1499.7
13137,1453.7
13159,1517.5
13185,1464.6
13245,1427.8
13276,1517.4
13310,1505.4
13338,1502.2
13340,1516.8
13426,1441.1
13594,1484.7
13597,1542.0
13625,1518.1
13626,1411.1
13666,1483.5
13710,1431.1
13871,1616.4
13873,1542.5
13880,1600.8
13944,1500.7
14100,1577.7
14101,1482.9
14110,1528.8
14116,1547.8
14122,1532.2
14167,1469.4
14171,1500.8
14186,1547.4
14257,1455.8
14277,1471.1
14285,1482.3
14300,1577.6
14305,1556.2
14315,1501.6
14339,1450.1
14340,1482.6
14346,1546.1
14349,1742.8
14380,1796.2
14391,1568.7
14419,1426.7
14466,1513.4
14468,1515.3
14469,1589.8
14470,1481.8
14471,1543.7
14549,1486.9
14564,1654.9
14579,1587.1
14644,1453.1
14691,1547.1
14699,1614.1
14705,1482.8
14723,1593.1
14749,1486.9
14804,1563.6
14821,1453.8
14832,1455.4
14836,1467.3
14885,1516.5
14888,1424.9
14889,1484.9
14890,1513.5
14891,1485.1
14892,1514.3
14943,1457.1
14947,1516.2
14966,1483.3
14974,1452.1
15005,1634.6
15039,1485.7
15093,1439.8
15101,1500.6
15117,1471.0
15144,1523.9
15145,1491.1
15156,1547.7
15172,1457.0
15176,1443.0
15183,1531.2
15210,1553.0
15215,1439.2
15216,1383.0
15290,1516.7
15305,1496.3
15317,1458.6
15356,1514.1
15387,1450.8
15393,1516.3
15409,1499.3
15476,1560.4
15489,1528.9
15571,1547.1
15573,1550.0
15579,1528.8
15591,1395.8
15624,1545.2
15650,1475.6
15710,1499.8
15737,1529.4
15776,1513.3
15807,1426.9
15822,1471.1
15831,1482.1
15902,1448.4
15938,1448.4
15967,1485.9
15970,1520.3
16041,1416.1
16043,1390.4
16049,1502.7
16050,1423.8
16051,1487.6
16052,1568.3
16053,1458.5
16054,1577.9
16055,1575.6
16056,1437.7
16058,1539.4
16061,1454.9
16062,1537.0
16068,1485.8
16119,1487.5
16188,1428.3
16202,1491.4
16244,1566.7
16252,1484.2
16261,1468.0
16277,1476.0
16282,1484.8
16337,1400.4
16344,1481.4
16345,1485.1
16346,1484.3
16362,1471.5
16367,1529.6
16428,1525.9
16492,1464.2
16500,1527.0
16522,1458.9
16524,1481.1
16526,1495.3
16551,1517.3
16577,1493.0
16600,1423.7
16631,1517.8
16632,1482.3
16633,1546.1
16637,1422.2
16643,1482.4
16684,1484.8
16688,1455.2
16724,1510.2
16757,1472.1
16759,1425.6
16767,1484.7
16786,1553.2
16804,1544.5
16838,1453.7
16905,1420.9
16917,1454.7
16928,1514.6
16946,1393.8
16981,1516.4
16995,1547.5
17073,1495.7
17079,1545.1
17099,1506.9
17101,1520.6
17229,1453.8
17254,1584.7
17265,1498.1
17276,1383.0
17285,1540.4
17306,1470.5
17330,1610.3
17357,1570.9
17424,1413.4
17470,1475.3
17533,1491.5
17554,1517.3
17556,1670.2
17586,1484.0
17624,1469.3
17646,1488.6
17659,1491.4
17682,1469.7
17707,1486.1
17728,1689.6
17729,1496.1
17730,1455.2
17731,1676.6
17739,1498.0
17742,1500.0
17752,1513.8
17792,1528.3
17799,1443.4
17800,1484.2
17801,1452.3
17893,1437.7
17921,1497.8
17939,1518.6
17994,1518.3
18003,1668.5
18024,1473.1
18043,1441.1
18050,1465.1
18066,1528.3
18078,1488.1
18157,1598.3
18170,1507.3
18187,1522.3
18194,1437.1
18211,1558.2
18215,1453.3
18224,1548.0
18228,1463.9
18248,1382.5
18255,1433.5
18267,1497.2
18294,1537.9
18301,1471.3
18306,1540.5
18328,1469.2
18359,1365.4
18360,1465.6
18361,1533.0
18362,1453.4
18363,1549.3
18374,1483.9
18439,1521.5
18449,1455.5
18478,1544.0
18485,1445.6
18500,1445.3
18579,1501.9
18588,1481.1
18593,1501.4
18608,1499.3
18609,1545.3
18611,1330.0
18613,1474.9
18614,1475.3
18637,1472.7
18641,1468.4
18702,1510.0
18740,1501.5
18751,1474.6
18768,1455.5
18816,1486.1
18831,1452.9
18877,1471.3
18899,1540.6
18968,1522.4
19001,1498.7
19013,1477.0
19016,1487.1
19030,1520.8
19050,1521.7
19074,1488.0
19093,1572.3
19102,1461.9
19104,1400.7
19111,1475.1
19114,1542.0
19170,1533.4
19188,1539.3
19191,1515.7
19192,1440.9
19193,1537.4
19194,1457.1
19195,1400.2
19218,1501.0
19221,1519.0
19238,1574.8
19296,1479.0
19305,1527.8
19341,1565.5
19343,1422.5
19350,1469.4
19377,1425.9
19407,1491.2
19436,1534.4
19450,1507.4
19451,1439.5
19455,1484.6
19457,1494.2
19463,1500.7
19480,1484.4
19512,1412.6
19560,1422.0
19584,1493.4
19595,1516.9
19635,1442.4
19636,1462.1
19637,1482.3
19651,1497.1
19695,1482.5
19699,1482.3
19735,1516.2
19745,1535.7
19771,1476.8
19847,1506.2
19870,1459.1
19892,1454.1
19899,1562.8
19905,1472.5
19956,1572.5
20017,1528.1
20065,1544.8
20130,1544.5
20149,1511.4
20245,1482.7
20292,1534.5
20402,1602.9
20412,1406.1
20493,1507.5
20503,1453.1
20560,1439.7
20589,1438.8
20616,1429.6
20667,1473.3
20780,1511.9
20791,1487.7
20823,1589.0
20858,1458.3
20870,1518.1
20871,1477.4
20886,1559.8
20890,1484.7
20914,1500.4
21003,1523.5
21018,1501.5
21035,1487.8
21036,1529.1
21069,1429.7
21077,1538.8
21078,1413.2
21081,1469.1
21083,1568.2
21084,1545.7
21085,1401.2
21086,1498.7
21096,1577.3
21129,1436.9
21145,1522.0
21153,1561.0
21170,1515.4
21178,1423.6
21222,1434.7
21223,1467.1
21261,1497.5
21332,1532.0
21337,1468.5
21340,1536.5
21342,1487.4
21396,1525.9
21411,1468.2
21469,1467.6
21472,1435.0
21481,1456.9
21511,1659.7
21517,1573.6
21520,1445.1
21531,1501.2
21532,1454.7
21590,1494.3
21605,1453.6
21612,1522.8
21657,1393.1
21729,1482.2
21741,1502.3
21750,1424.5
21762,1470.7
21765,1469.3
21788,1570.7
21803,1441.1
21811,1561.6
21826,1468.9
21864,1481.5
21877,1501.4
21891,1457.1
21896,1456.4
21926,1486.2
21946,1458.0
21987,1494.0
22030,1400.9
22032,1511.3
22083,1523.6
22097,1609.3
22110,1481.6
22116,1653.9
22125,1512.8
22159,1503.2
22212,1497.4
22347,1488.7
22373,1468.4
22399,1487.7
22406,1598.9
22407,1553.0
22439,1569.6
22443,1412.3
22602,1529.9
22660,1546.5
22708,1561.3
22746,1538.6
22801,1529.5
22846,1519.9
22920,1474.7
22922,1441.9
22927,1443.4
22975,1452.9
22977,1490.7
22985,1615.5
23055,1491.0
23059,1545.6
23060,1546.7
23061,1542.2
23065,1548.3
23069,1492.9
23070,1408.5
23072,1483.2
23073,1485.0
23138,1526.0
23173,1435.3
23195,1526.6
23204,1568.9
23300,1462.4
23311,1562.2
23331,1651.1
23332,1378.7
23334,1415.3
23335,1399.3
23347,1487.3
23369,1490.2
23400,1518.4
23420,1539.9
23454,1442.8
23460,1451.6
23476,1509.1
23484,1498.7
23500,1533.2
23501,1469.6
23502,1485.7
23504,1513.9
23517,1440.5
23560,1513.0
23567,1484.9
23636,1648.3
23645,1569.3
23665,1504.6
23686,1548.0
23732,1534.2
23753,1541.6
23772,1470.9
23875,1367.8
23891,1439.0
23922,1543.1
24086,1547.5
24089,1436.8
24116,1497.4
24144,1466.1
24173,1558.1
24242,1514.5
24300,1503.1
24404,1481.5
24405,1483.9
24493,1420.6
24527,1489.6
24528,1512.3
24529,1560.2
24560,1531.8
24577,1468.4
24581,1559.1
24605,1437.2
24615,1456.8
24626,1451.7
24669,1479.1
24681,1475.6
24697,1589.5
24736,1521.5
24766,1459.4
24767,1439.0
24841,1561.0
24853,1532.3
24927,1483.4
24961,1452.5
24963,1507.3
24993,1485.1
25100,1550.0
25135,1483.9
25290,1423.8
99990,1518.9
99998,1441.4
99999,1518.1
